branch_office,center_name,center_type,area_symbol,address,city,district
tn,KUMON永康東橋五路教室,ARC,710,台南市永康區東橋五路166號1樓,台南市,永康區
tp,KUMON三峽和平復興教室,E,237,新北市三峽區和平街36巷7弄2號1樓,新北市,三峽區
kh,KUMON臺東吉福知本教室,B,950,台東縣台東市吉福路48號1樓,台東縣,台東市
tp,KUMON內湖成功星雲教室,D,114,台北市內湖區成功路四段61巷20號2樓,台北市,內湖區
tp,KUMON新莊民安教室,ARC,242,新北市新莊區民安路182號2樓,新北市,新莊區
ty,KUMON北區中山英明教室,E,300,新竹市北區中山路40巷25-6號1樓,新竹市,北區
tn,KUMON新營三民中正教室,ARC,730,台南市新營區三民路76-5號1-2樓,台南市,新營區
tc,KUMON員林大同正興教室,D,510,彰化縣員林市大同路一段285巷7號1樓,彰化縣,員林市
ty,KUMON中壢福德教室,D,320,桃園市中壢區福德路112號1樓,桃園市,中壢區
ty,KUMON竹北中正西教室,D,302,新竹縣竹北市中正西路332號2樓,新竹縣,竹北市
ty,KUMON桃園宏昌十二街教室,C,330,桃園市桃園區宏昌12街532號1樓,桃園市,桃園區
ty,KUMON竹北成功九街教室,19A,302,新竹縣竹北市成功九街93號1樓,新竹縣,竹北市
tc,KUMON南屯萬和南屯教室,21A,408,台中市南屯區萬和路二段11號1-2樓,台中市,南屯區
kh,KUMON三民鼎勇鼎山教室,22A,807,高雄市三民區鼎勇街65號1樓,高雄市,三民區
kh,KUMON鳳山北文北維教室,22A,830,高雄市鳳山區北文街60巷9號1樓,高雄市,鳳山區
tc,KUMON神岡社口教室,B,429,台中市神岡區社口街478號1樓,台中市,神岡區
tp,KUMON林口文化三路三民教室,22A,244,新北市林口區文化三路1段39巷118號1樓,新北市,林口區
tc,KUMON豐原育德教室,D,420,台中市豐原區育德街95號1樓,台中市,豐原區
kh,KUMON屏東光復中山教室,E,900,屏東縣屏東市光復路74號1樓,屏東縣,屏東市
tc,KUMON南屯黎明東大墩11教室,C,408,台中市南屯區黎明東街350號1樓,台中市,南屯區
ty,KUMON桃園民富福元教室,C,330,桃園市桃園區民富二街8巷71號1樓,桃園市,桃園區
tn,KUMON西區中興友愛教室,21A,600,嘉義市西區中興路295號1樓,嘉義市,西區
tp,KUMON暖暖區暖暖教室,B,205,基隆市暖暖區暖暖街106-1號2樓,基隆市,暖暖區
tc,KUMON北區育強教室,B,404,台中市北區育強街139號1樓,台中市,北區
ty,KUMON東區東山學府教室,25A,300,新竹市東區東山街25-21號,新竹市,東區
tc,KUMON太平區太平長億教室,B,411,台中市太平區太平三街90號1樓,台中市,太平區
tp,KUMON北投清江教室,C,112,台北市北投區清江路194號1樓,台北市,北投區
tn,KUMON歸仁大吉教室,E,711,台南市歸仁區大吉街141號1樓,台南市,歸仁區
tp,KUMON蘆洲民族教室,20A,247,新北市蘆洲區民族路422巷15弄13號1樓,新北市,蘆洲區
tc,KUMON竹山大明教室,D,557,南投縣竹山鎮大明路577號1樓,南投縣,竹山鎮
tp,KUMON土城金城青雲教室,D,236,新北市土城區金城路二段310號2樓,新北市,土城區
tc,KUMON南屯文山三街教室,D,408,台中市南屯區文山三街51巷8號1樓,台中市,南屯區
tn,KUMON仁德德崙中正教室,22A,717,台南市仁德區德崙路37號1樓,台南市,仁德區
tc,KUMON豐原愛國教室,ARC,420,台中市豐原區愛國街103號,台中市,豐原區
tp,KUMON仁愛區愛六路教室,C,200,基隆市仁愛區愛六路8之1號2樓,基隆市,仁愛區
ty,KUMON頭份忠孝一路教室,21A,351,苗栗縣頭份市成功里忠孝一路314號1樓,苗栗縣,頭份市
tn,KUMON佳里安南教室,21A,722,台南市佳里區安南路480號1樓,台南市,佳里區
tp,KUMON新店中興德正教室,B,231,新北市新店區中興路二段57巷24號1樓,新北市,新店區
kh,KUMON臺東中正教室,D,950,台東縣台東市中正路392巷5號1樓,台東縣,台東市
tp,KUMON文山景中教室,21A,116,台北市文山區景中街45號2樓,台北市,文山區
tc,KUMON太平樹德教室,D,411,台中市太平區樹德路70巷12號1樓,台中市,太平區
[NULL],KUMON測試,[NULL],104,台北市中山區民權西路48號6樓,台北市,中山區
tp,KUMON羅東興東南門教室,D,265,宜蘭縣羅東鎮興東南路188號2樓之3,宜蘭縣,羅東鎮
kh,KUMON鳳山工協教室,E,830,高雄市鳳山區工協街6號1樓,高雄市,鳳山區
tn,KUMON麻豆文昌教室,E,721,台南市麻豆區文昌路19-5號1樓,台南市,麻豆區
tn,KUMON東區中華東路東門教室,19A,701,台南市東區中華東路二段295巷64號1樓,台南市,東區
kh,KUMON小港敬業教室,B,812,高雄市小港區敬業路86號1樓,高雄市,小港區
tc,KUMON彰化中山光復教室,20A,500,彰化縣彰化市中山里中山路二段626號1樓,彰化縣,彰化市
tp,KUMON松山延壽教室,D,105,台北市松山區延壽街121號1樓,台北市,松山區
tc,KUMON彰化忠孝教室,D,500,彰化縣彰化市忠孝街31號1樓,彰化縣,彰化市
ty,KUMON楊梅新農教室,B,326,桃園市楊梅區新農街268號1樓,桃園市,楊梅區
tp,KUMON板橋莒光教室,C,220,新北市板橋區莒光路165巷34-1號2樓,新北市,板橋區
tc,KUMON鹿港中正教室,D,505,彰化縣鹿港鎮中正路344號1樓,彰化縣,鹿港鎮
kh,KUMON左營文天重愛教室,19A,813,高雄市左營區文天路122號1樓,高雄市,左營區
hq,高雄忠孝國中專案,[NULL],[NULL],[NULL],[NULL],[NULL]
tc,KUMON大里新南教室,19A,412,台中市大里區新南路176號1樓,台中市,大里區
kh,KUMON前鎮鄭和民權教室,19A,806,高雄市前鎮區鄭和路59號1樓,高雄市,前鎮區
tp,KUMON中正銅山教室,C,100,台北市中正區銅山街7-1號1樓,台北市,中正區
ty,KUMON東區關東教室,20A,300,新竹市東區關東路139號1樓,新竹市,東區
tp,KUMON萬華萬大教室,C,108,台北市萬華區萬大路71巷16號1樓,台北市,萬華區
kh,KUMON鳳山武慶二路教室,E,830,高雄市鳳山區武慶二路76號1樓,高雄市,鳳山區
tc,KUMON東區樂業旱溪東教室,E,401,台中市東區樂業路266號2樓,台中市,東區
tp,KUMON宜蘭國榮教室,B,260,宜蘭縣宜蘭市國榮路153號1樓,宜蘭縣,宜蘭市
tn,KUMON斗南延平長安教室,C,630,雲林縣斗南鎮延平路二段554巷25號1樓,雲林縣,斗南鎮
tc,KUMON溪湖華中教室,D,514,彰化縣溪湖鎮華中街25號1樓,彰化縣,溪湖鎮
kh,KUMON苓雅正大安溪教室,21A,802,高雄市苓雅區正大路119號1樓,高雄市,苓雅區
tc,KUMON沙鹿鎮南福幼教室,E,433,台中市沙鹿區鎮南路二段438號1樓,台中市,沙鹿區鎮
tp,KUMON內湖康寧三段教室,21A,114,台北市內湖區康寧路三段99巷19號1樓,台北市,內湖區
tc,KUMON大里立新教室,25A,412,台中市大里區立新街289號,台中市,大里區
tp,KUMON士林劍潭教室,B,111,台北市士林區劍潭路55巷11弄18號1樓,台北市,士林區
tc,KUMON南投信義教室,E,540,南投縣南投市平和里信義街119號1樓,南投縣,南投市
kh,KUMON鳳山文化教室,C,830,高雄市鳳山區文化路103號1樓,高雄市,鳳山區
tc,KUMON和美孝德教室,D,508,彰化縣和美鎮孝德路86號1樓,彰化縣,和美鎮
tc,KUMON西區四維教室,C,403,台中市西區四維街24-7號1樓,台中市,西區
tc,KUMON北屯松竹五路南興教室,E,406,台中市北屯區松竹五路一段291巷37號1-2樓,台中市,北屯區
ty,KUMON桃園永順教室,26A,330,桃園市桃園區永順街88巷6號,桃園市,桃園區
tc,KUMON北屯軍福13路教室,19A,406,台中市北屯區軍福十三路308號1樓,台中市,北屯區
kh,KUMON左營孟子教室,24A,813,高雄市左營區孟子路389號,高雄市,左營區
