"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"臺北市松山區","中崙里","1439","2452035","1704","817","356","1902","5899.26","346.20"
"臺北市松山區","自強里","3029","4355839","1438","666","285","1629","3517.94","244.63"
"臺北市松山區","鵬程里","1675","2131380","1272","629","284","1417","2108.18","165.68"
"臺北市松山區","東榮里","2848","4864823","1708","850","356","2071","3290.15","192.61"
"臺北市松山區","介壽里","1502","2273388","1514","842","326","1821","2162.92","142.90"
"臺北市松山區","東勢里","1542","2465747","1599","739","314","1675","7569.07","473.35"
"臺北市松山區","東光里","2475","3271246","1322","669","291","1482","2512.34","190.08"
"臺北市松山區","中正里","3459","6281849","1816","994","382","2182","3612.39","198.91"
"臺北市松山區","復盛里","2194","2316239","1056","629","270","1272","1370.05","129.77"
"臺北市松山區","復勢里","2329","3211420","1379","766","331","1616","2181.27","158.19"
"臺北市松山區","美仁里","1217","1898166","1560","775","353","1737","2515.82","161.30"
"臺北市松山區","吉仁里","1386","1918760","1384","745","327","1774","1764.47","127.46"
"臺北市松山區","精忠里","1547","2514123","1625","834","336","1870","3746.22","230.51"
"臺北市松山區","東昌里","909","1491625","1641","818","311","1948","3743.13","228.11"
"臺北市松山區","福成里","925","1589180","1718","816","315","1960","2984.66","173.73"
"臺北市松山區","中華里","2324","4965508","2137","950","397","2268","10579.17","495.14"
"臺北市松山區","吉祥里","2978","3743134","1257","676","303","1470","2063.95","164.21"
"臺北市松山區","新東里","1724","2102319","1219","674","286","1451","2479.00","203.29"
"臺北市松山區","三民里","2420","3086564","1275","686","285","1512","2005.53","157.24"
"臺北市松山區","復建里","1608","2314511","1439","788","342","1838","1811.60","125.86"
"臺北市松山區","敦化里","2419","3398274","1405","773","339","1744","2177.49","155.00"
"臺北市松山區","安平里","2921","3018964","1034","603","272","1211","1603.20","155.12"
"臺北市松山區","富錦里","1807","2296289","1271","683","284","1553","1883.47","148.21"
"臺北市松山區","莊敬里","1638","1576821","963","610","272","1204","1353.10","140.56"
"臺北市松山區","新益里","1632","1787681","1095","602","271","1351","1785.63","163.01"
"臺北市松山區","富泰里","1650","2088768","1266","731","294","1611","1872.98","147.95"
"臺北市松山區","龍田里","3678","6204706","1687","977","385","2175","2398.50","142.18"
"臺北市松山區","慈祐里","2504","2506856","1001","576","246","1219","1372.43","137.09"
"臺北市松山區","復源里","1156","1790611","1549","796","318","1769","2895.43","186.93"
"臺北市松山區","民福里","2141","2295420","1072","579","266","1247","2219.39","207.01"
"臺北市松山區","松基里","1331","3196607","2402","745","335","1860","23884.16","994.49"
"臺北市松山區","新聚里","2852","3262798","1144","650","281","1357","1748.77","152.86"
"臺北市松山區","民有里","3372","5784679","1716","791","341","1835","4291.90","250.18"
"臺北市松山區","其他","451","340002","754","498","268","1016","818.87","108.62"
"臺北市松山區","合計","69082","98796332","1430","729","310","1639","4770.51","333.57"
"臺北市大安區","建安里","1801","3121211","1733","832","351","1862","4225.39","243.81"
"臺北市大安區","通安里","1859","2407721","1295","645","277","1416","2354.72","181.81"
"臺北市大安區","民輝里","2547","5279405","2073","848","339","2107","6844.67","330.21"
"臺北市大安區","德安里","2006","3373591","1682","770","311","1923","3005.18","178.69"
"臺北市大安區","敦安里","2269","4486969","1978","936","383","2205","3615.72","182.84"
"臺北市大安區","光明里","1321","2674318","2024","1035","397","2282","5488.43","271.11"
"臺北市大安區","永康里","1298","2169398","1671","848","346","1832","3825.38","228.88"
"臺北市大安區","福住里","2238","4333880","1936","985","365","2194","4341.60","224.20"
"臺北市大安區","仁愛里","1926","3937178","2044","948","377","2180","4221.70","206.52"
"臺北市大安區","義村里","2014","2609007","1295","641","267","1495","2303.92","177.85"
"臺北市大安區","臥龍里","712","1241338","1743","845","318","1940","3050.28","174.96"
"臺北市大安區","通化里","2123","2360300","1112","635","282","1302","1595.29","143.49"
