"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"臺中市中區","繼光里","419","338607","808","452","232","920","1151.86","142.53"
"臺中市中區","大墩里","618","522293","845","484","213","1042","1295.94","153.34"
"臺中市中區","綠川里","471","319779","679","445","195","895","760.27","111.98"
"臺中市中區","公園里","451","416069","923","485","233","1122","1227.10","133.01"
"臺中市中區","光復里","568","503130","886","459","190","1016","1388.55","156.76"
"臺中市中區","柳川里","471","298219","633","357","142","849","934.94","147.66"
"臺中市中區","大誠里","606","475068","784","447","208","907","1132.03","144.40"
"臺中市中區","中華里","464","372621","803","435","210","879","1156.40","144.00"
"臺中市中區","其他","1","2787","2787","2787","2787","2787","0.00","0.00"
"臺中市中區","合計","4069","3248572","798","451","201","950","1160.11","145.31"
"臺中市東區","新庄里","802","698955","872","496","206","982","1357.74","155.79"
"臺中市東區","泉源里","687","569287","829","490","218","1082","998.72","120.52"
"臺中市東區","東門里","2571","1831714","712","446","206","892","857.02","120.29"
"臺中市東區","東勢里","719","477489","664","401","196","848","782.31","117.80"
"臺中市東區","合作里","1150","751845","654","455","223","847","745.54","114.04"
"臺中市東區","振興里","955","688357","721","439","207","887","997.68","138.41"
"臺中市東區","東橋里","1258","904601","719","431","192","879","956.85","133.07"
"臺中市東區","旱溪里","751","540735","720","421","197","826","1202.49","167.01"
"臺中市東區","樂成里","776","590823","761","486","214","1001","888.11","116.65"
"臺中市東區","干城里","721","631077","875","541","238","1092","1334.00","152.41"
"臺中市東區","東南里","1057","773865","732","424","190","827","1701.63","232.42"
"臺中市東區","十甲里","1756","1334996","760","488","225","998","913.53","120.16"
"臺中市東區","富台里","439","271059","617","400","211","721","806.89","130.68"
"臺中市東區","富仁里","1181","923803","782","461","214","967","936.99","119.79"
"臺中市東區","東興里","991","673171","679","441","188","893","808.18","118.98"
"臺中市東區","東信里","3025","2086660","690","448","204","882","783.51","113.58"
"臺中市東區","東英里","2688","2212611","823","499","234","1011","1179.14","143.25"
"臺中市東區","其他","2","959","480","480","459","500","58.96","12.30"
"臺中市東區","合計","21529","15962005","741","458","210","922","1019.47","137.50"
"臺中市西區","民生里","647","581530","899","533","242","1231","1018.02","113.26"
"臺中市西區","利民里","476","528320","1110","613","251","1301","1477.70","133.14"
"臺中市西區","三民里","640","752321","1176","722","320","1561","1317.52","112.08"
"臺中市西區","東昇里","876","822050","938","596","244","1219","1106.36","117.90"
"臺中市西區","廣民里","447","343889","769","451","181","850","1009.01","131.16"
"臺中市西區","平和里","690","634248","919","533","222","1122","1313.18","142.86"
"臺中市西區","公民里","1832","1882786","1028","570","252","1190","1916.33","186.46"
"臺中市西區","公舘里","1949","2113476","1084","500","213","1056","9098.16","839.01"
"臺中市西區","和龍里","631","437981","694","427","182","851","885.39","127.56"
"臺中市西區","民龍里","1337","1521494","1138","615","251","1326","1721.01","151.23"
"臺中市西區","後龍里","1254","1321934","1054","568","230","1220","1611.59","152.88"
"臺中市西區","安龍里","1037","1191850","1149","578","257","1219","2251.96","195.94"
"臺中市西區","忠明里","2152","2529492","1175","577","237","1273","1876.92","159.68"
"臺中市西區","公正里","2495","2407203","965","559","255","1160","1317.84","136.59"
"臺中市西區","昇平里","2057","2019760","982","552","241","1110","1631.26","166.13"
"臺中市西區","土庫里","2156","2589829","1201","584","269","1343","2224.09","185.15"
"臺中市西區","藍興里","1455","1375123","945","559","242","1174","1183.67","125.24"
"臺中市西區","吉龍里","2523","2692210","1067","580","250","1238","1667.20","156.24"
"臺中市西區","忠誠里","2152","1952514","907","516","236","1070","1210.75","133.44"
"臺中市西區","公益里","865","551403","637","414","185","811","731.64","114.77"
"臺中市西區","中興里","1333","1542511","1157","555","234","1208","2355.30","203.54"
"臺中市西區","公平里","1867","1900132","1018","549","238","1230","1515.52","148.91"
"臺中市西區","公德里","1629","1589880","976","569","259","1195","1342.45","137.55"
"臺中市西區","大忠里","1784","1877967","1053","647","276","1349","1411.12","134.05"
"臺中市西區","双龍里","926","892937","964","480","210","1054","1629.80","169.01"
"臺中市西區","其他","4","1466","367","380","190","556","301.80","82.32"
"臺中市西區","合計","35214","36054306","1024","555","242","1180","2655.43","259.35"
