"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"基隆市中正區","德義里","257","218182","849","544","278","1177","885.69","104.33"
"基隆市中正區","正義里","390","238358","611","430","217","776","644.24","105.41"
"基隆市中正區","信義里","259","219957","849","403","181","803","3695.04","435.09"
"基隆市中正區","義重里","282","205226","728","469","248","860","930.93","127.92"
"基隆市中正區","港通里","508","434228","855","532","244","1081","1019.43","119.26"
"基隆市中正區","中船里","335","243856","728","490","253","877","907.11","124.62"
"基隆市中正區","正船里","383","217381","568","398","176","778","573.31","101.01"
"基隆市中正區","入船里","228","138103","606","418","203","797","565.73","93.40"
"基隆市中正區","中砂里","426","282302","663","442","204","898","764.35","115.34"
"基隆市中正區","正砂里","776","587107","757","474","255","923","934.75","123.55"
"基隆市中正區","真砂里","426","274499","644","423","214","798","787.14","122.16"
"基隆市中正區","砂灣里","627","395897","631","443","207","795","680.09","107.71"
"基隆市中正區","中濱里","360","195696","544","391","189","702","596.24","109.68"
"基隆市中正區","中正里","480","279556","582","389","196","725","664.83","114.15"
"基隆市中正區","正濱里","253","178532","706","399","199","740","1623.68","230.09"
"基隆市中正區","社寮里","442","246337","557","408","212","715","629.65","112.98"
"基隆市中正區","平寮里","322","166988","519","400","174","678","540.27","104.18"
"基隆市中正區","八斗里","358","206038","576","390","216","662","693.47","120.49"
"基隆市中正區","長潭里","97","67316","694","336","189","662","1347.14","194.12"
"基隆市中正區","砂子里","1807","1074735","595","431","227","746","632.58","106.36"
"基隆市中正區","海濱里","277","139313","503","380","219","581","511.77","101.76"
"基隆市中正區","建國里","616","438086","711","482","234","905","784.33","110.29"
"基隆市中正區","和憲里","226","115365","510","362","210","611","526.72","103.18"
"基隆市中正區","碧砂里","284","167420","590","389","177","709","736.74","124.98"
"基隆市中正區","新豐里","2394","1752785","732","510","252","940","837.40","114.37"
"基隆市中正區","新富里","1588","970409","611","431","225","739","692.31","113.29"
"基隆市中正區","其他","1","79","79","79","79","79","0.00","0.00"
"基隆市中正區","合計","14402","9453750","656","440","223","817","919.18","140.03"
"基隆市七堵區","八德里","518","297925","575","392","213","704","622.53","108.24"
"基隆市七堵區","長興里","1280","803916","628","440","214","752","699.03","111.30"
"基隆市七堵區","正光里","835","606362","726","430","196","831","1021.73","140.70"
"基隆市七堵區","永平里","633","448905","709","462","216","901","825.67","116.43"
"基隆市七堵區","富民里","1226","841475","686","436","228","855","829.80","120.90"
"基隆市七堵區","自強里","384","251037","654","439","212","819","732.30","112.02"
"基隆市七堵區","泰安里","1607","1057146","658","446","230","827","799.23","121.49"
"基隆市七堵區","堵南里","645","375897","583","411","226","700","647.77","111.15"
"基隆市七堵區","堵北里","1364","874014","641","431","227","777","730.90","114.07"
"基隆市七堵區","六堵里","839","575985","687","435","218","849","905.76","131.94"
"基隆市七堵區","友一里","785","732769","933","523","273","1098","1221.89","130.90"
"基隆市七堵區","友二里","110","65889","599","357","208","576","904.45","151.00"
"基隆市七堵區","瑪東里","84","45936","547","388","227","627","641.75","117.35"
"基隆市七堵區","瑪南里","104","54292","522","363","188","641","503.66","96.48"
"基隆市七堵區","瑪西里","85","55971","658","421","220","706","778.28","118.19"
"基隆市七堵區","永安里","779","564430","725","472","232","856","865.96","119.52"
"基隆市七堵區","百福里","2367","1647289","696","451","223","853","867.28","124.62"
"基隆市七堵區","實踐里","1322","753881","570","389","212","697","630.56","110.58"
"基隆市七堵區","正明里","670","481967","719","479","229","928","846.74","117.71"
"基隆市七堵區","長安里","838","460153","549","394","210","679","589.96","107.44"
