"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"臺南市東區","路東里","550","508128","924","572","269","1106","1135.68","122.93"
"臺南市東區","大福里","467","307058","658","445","228","810","729.72","110.98"
"臺南市東區","東安里","395","335366","849","468","240","976","1332.00","156.88"
"臺南市東區","德高里","1092","961657","881","536","271","1090","1147.19","130.27"
"臺南市東區","小東里","1486","1485127","999","575","256","1166","2175.54","217.68"
"臺南市東區","後甲里","842","675403","802","481","224","969","1461.91","182.25"
"臺南市東區","關聖里","1798","2598226","1445","751","333","1814","2039.89","141.16"
"臺南市東區","圍下里","646","719058","1113","578","273","1203","1697.11","152.47"
"臺南市東區","虎尾里","1815","1863783","1027","598","273","1243","1324.29","128.96"
"臺南市東區","中西里","1073","1193617","1112","601","279","1313","1992.50","179.12"
"臺南市東區","泉南里","1692","1826323","1079","557","252","1175","1776.17","164.55"
"臺南市東區","龍山里","1952","2848986","1460","794","337","1699","2326.68","159.41"
"臺南市東區","忠孝里","1418","1223371","863","522","246","1097","1104.09","127.97"
"臺南市東區","崇誨里","765","559189","731","446","218","903","943.88","129.13"
"臺南市東區","大學里","425","529672","1246","759","276","1637","1424.89","114.33"
"臺南市東區","大德里","418","274034","656","395","206","745","835.31","127.42"
"臺南市東區","東光里","1791","2392277","1336","677","301","1459","1969.82","147.47"
"臺南市東區","大智里","2277","1876202","824","514","262","973","1166.72","141.60"
"臺南市東區","新東里","865","810848","937","570","273","1172","1139.24","121.53"
"臺南市東區","仁和里","1480","982400","664","442","235","846","710.43","107.03"
"臺南市東區","富強里","1540","1512831","982","562","257","1146","1389.10","141.40"
"臺南市東區","衛國里","457","363049","794","439","197","949","1156.93","145.63"
"臺南市東區","自強里","1978","1933930","978","570","267","1141","1404.04","143.60"
"臺南市東區","崇善里","1836","1741029","948","571","279","1133","1237.99","130.55"
"臺南市東區","崇學里","977","1054360","1079","548","253","1177","2066.76","191.51"
"臺南市東區","崇明里","1496","1698090","1135","618","260","1338","1690.65","148.94"
"臺南市東區","裕農里","955","809920","848","496","215","997","1146.12","135.14"
"臺南市東區","莊敬里","1324","1413877","1068","586","273","1239","1686.29","157.91"
"臺南市東區","和平里","1964","2228682","1135","685","320","1348","1547.87","136.40"
"臺南市東區","富裕里","713","549795","771","518","244","929","906.75","117.59"
"臺南市東區","東明里","1061","1013835","956","566","262","1083","1475.10","154.37"
"臺南市東區","崇德里","1630","1504226","923","558","276","1148","1176.75","127.51"
"臺南市東區","東智里","957","883055","923","567","283","1136","1086.91","117.79"
"臺南市東區","東聖里","685","532157","777","490","248","942","985.42","126.85"
"臺南市東區","崇成里","1052","1021674","971","558","280","1190","1297.14","133.56"
"臺南市東區","東門里","603","602041","998","511","214","1030","4048.51","405.50"
"臺南市東區","成大里","603","512000","849","476","246","1054","1037.43","122.18"
"臺南市東區","大同里","885","687883","777","439","204","882","1152.65","148.29"
"臺南市東區","德光里","1478","1517977","1027","607","258","1231","1475.40","143.65"
"臺南市東區","崇信里","1290","1079823","837","501","222","1072","1043.12","124.61"
"臺南市東區","崇文里","2050","1870863","913","560","268","1142","1161.23","127.24"
"臺南市東區","復興里","1089","894152","821","522","229","995","1332.22","162.25"
"臺南市東區","裕聖里","1966","2965197","1508","941","391","1840","2401.00","159.19"
