"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"高雄市鹽埕區","藍橋里","381","283060","743","462","204","900","1006.17","135.43"
"高雄市鹽埕區","慈愛里","82","55463","676","472","238","882","931.92","137.78"
"高雄市鹽埕區","博愛里","164","104708","638","382","201","665","804.61","126.02"
"高雄市鹽埕區","陸橋里","281","182806","651","466","213","817","729.47","112.13"
"高雄市鹽埕區","壽星里","325","253753","781","418","194","923","1049.58","134.43"
"高雄市鹽埕區","中山里","509","446040","876","556","231","1008","1216.31","138.80"
"高雄市鹽埕區","瀨南里","149","144774","972","478","194","1122","1505.42","154.94"
"高雄市鹽埕區","新樂里","276","225469","817","448","182","937","1189.06","145.55"
"高雄市鹽埕區","教仁里","566","386381","683","412","203","797","931.57","136.46"
"高雄市鹽埕區","中原里","181","161555","893","497","260","948","1566.45","175.50"
"高雄市鹽埕區","府北里","496","304620","614","418","207","766","694.28","113.05"
"高雄市鹽埕區","育仁里","212","159068","750","425","187","912","956.22","127.44"
"高雄市鹽埕區","光明里","368","318811","866","558","244","1086","998.89","115.30"
"高雄市鹽埕區","江西里","306","270843","885","485","240","1123","1165.33","131.66"
"高雄市鹽埕區","港都里","269","166423","619","424","209","780","681.27","110.12"
"高雄市鹽埕區","新化里","150","87848","586","379","152","717","715.69","122.20"
"高雄市鹽埕區","江南里","173","153749","889","457","215","974","1201.60","135.21"
"高雄市鹽埕區","河濱里","529","439171","830","478","204","976","1309.09","157.69"
"高雄市鹽埕區","南端里","303","263630","870","509","228","1158","1073.78","123.41"
"高雄市鹽埕區","沙地里","196","149844","765","498","271","871","946.46","123.80"
"高雄市鹽埕區","新豐里","245","170338","695","471","193","947","714.75","102.80"
"高雄市鹽埕區","其他","0","0","0","0","0","0","0.00","0.00"
"高雄市鹽埕區","合計","6161","4728355","767","464","210","904","1047.14","136.44"
"高雄市鼓山區","前峰里","1290","941062","730","465","222","912","933.00","127.89"
"高雄市鼓山區","光榮里","1039","809281","779","447","224","893","1206.16","154.85"
"高雄市鼓山區","民族里","357","271814","761","455","239","787","2054.56","269.85"
"高雄市鼓山區","自強里","202","131963","653","472","278","819","631.68","96.69"
"高雄市鼓山區","建國里","817","632973","775","501","229","985","893.11","115.28"
"高雄市鼓山區","內惟里","281","210292","748","481","253","1019","897.04","119.87"
"高雄市鼓山區","忠正里","1031","646479","627","437","225","751","696.69","111.11"
"高雄市鼓山區","龍井里","324","195582","604","423","199","719","708.86","117.43"
"高雄市鼓山區","平和里","1087","772406","711","484","230","847","810.88","114.11"
"高雄市鼓山區","龍子里","6296","7896883","1254","761","322","1559","1685.07","134.35"
"高雄市鼓山區","鼓岩里","268","138783","518","323","142","577","801.65","154.80"
"高雄市鼓山區","樹德里","326","241720","741","470","214","891","958.83","129.31"
"高雄市鼓山區","寶樹里","295","181254","614","384","168","812","786.82","128.06"
"高雄市鼓山區","綠川里","327","202319","619","423","193","729","750.77","121.34"
"高雄市鼓山區","河邊里","283","187934","664","458","261","865","728.88","109.76"
"高雄市鼓山區","興宗里","332","210500","634","417","219","784","729.59","115.07"
"高雄市鼓山區","光化里","283","178592","631","372","198","767","819.37","129.84"
"高雄市鼓山區","山下里","395","336272","851","504","249","1038","1014.47","119.16"
"高雄市鼓山區","登山里","131","104039","794","442","249","874","975.35","122.81"
"高雄市鼓山區","峰南里","185","118098","638","370","203","710","923.00","144.59"
"高雄市鼓山區","維生里","374","293527","785","445","211","959","1190.70","151.71"
"高雄市鼓山區","延平里","215","157425","732","384","207","781","1097.54","149.89"
"高雄市鼓山區","新民里","229","147841","646","370","203","781","772.30","119.63"
"高雄市鼓山區","惠安里","318","387402","1218","432","200","852","9272.21","761.11"
"高雄市鼓山區","壽山里","315","168282","534","331","164","687","595.09","111.39"
"高雄市鼓山區","哨船頭里","260","168859","649","467","216","815","736.83","113.45"
"高雄市鼓山區","桃源里","138","109842","796","490","194","1040","858.23","107.82"
"高雄市鼓山區","正德里","553","380922","689","432","208","791","1076.93","156.34"
"高雄市鼓山區","厚生里","956","630010","659","444","225","895","690.36","104.76"
"高雄市鼓山區","明誠里","6221","5931331","953","591","263","1179","1265.63","132.74"
"高雄市鼓山區","民強里","754","472042","626","440","216","783","686.27","109.62"
"高雄市鼓山區","裕豐里","872","771295","885","527","234","1061","1138.24","128.69"
"高雄市鼓山區","華豐里","1387","1188976","857","527","246","1036","1175.61","137.14"
"高雄市鼓山區","雄峰里","554","342018","617","425","188","745","807.87","130.86"
"高雄市鼓山區","鼓峰里","461","249316","541","369","193","643","651.83","120.53"
"高雄市鼓山區","麗興里","273","219253","803","474","215","924","1226.03","152.66"
"高雄市鼓山區","龍水里","10555","16363252","1550","925","394","1870","3682.51","237.54"
"高雄市鼓山區","裕興里","1087","852153","784","463","221","972","1034.31","131.94"
"高雄市鼓山區","其他","5","2374","475","439","131","846","379.63","79.96"
"高雄市鼓山區","合計","41076","43244363","1053","591","266","1229","2312.81","219.68"
"高雄市左營區","崇實里","1357","1241957","915","687","306","1160","978.27","106.89"
"高雄市左營區","合群里","813","615472","757","516","266","886","916.67","121.09"
"高雄市左營區","頂西里","269","176619","657","444","223","783","765.44","116.58"
"高雄市左營區","頂北里","133","86467","650","435","228","748","736.12","113.23"
"高雄市左營區","中北里","131","88618","676","389","183","708","1026.13","151.69"
"高雄市左營區","中南里","121","64104","530","389","236","722","459.25","86.69"
"高雄市左營區","自助里","892","724577","812","660","339","1031","802.71","98.82"
"高雄市左營區","尾西里","283","206742","731","467","260","835","858.78","117.55"
"高雄市左營區","尾北里","969","734032","758","491","241","886","981.88","129.62"
"高雄市左營區","廍南里","150","99486","663","435","196","880","710.91","107.19"
"高雄市左營區","廟東里","173","115600","668","437","177","680","941.63","140.92"
"高雄市左營區","廟北里","184","120571","655","408","208","802","881.73","134.56"
"高雄市左營區","尾南里","171","94007","550","366","178","685","594.18","108.08"
"高雄市左營區","廍北里","87","55916","643","432","233","648","947.58","147.43"
"高雄市左營區","埤東里","235","180375","768","376","187","777","1975.37","257.36"
"高雄市左營區","埤北里","275","170087","618","382","182","749","858.10","138.74"
"高雄市左營區","新上里","9798","10413127","1063","621","286","1288","1630.81","153.45"
"高雄市左營區","新中里","1572","1363332","867","523","251","1050","1167.64","134.64"
"高雄市左營區","新下里","5306","5421088","1022","621","281","1284","1306.64","127.89"
"高雄市左營區","聖后里","190","119861","631","402","184","855","712.08","112.88"
"高雄市左營區","聖西里","78","83087","1065","567","304","1096","1639.58","153.92"
"高雄市左營區","聖南里","135","87272","646","428","207","775","742.97","114.93"
"高雄市左營區","埤西里","237","163087","688","412","220","883","855.24","124.28"
"高雄市左營區","路東里","194","152604","787","484","262","944","1056.65","134.33"
"高雄市左營區","城南里","116","71283","615","453","166","726","762.05","124.01"
"高雄市左營區","進學里","390","229587","589","407","197","689","647.85","110.05"
"高雄市左營區","屏山里","345","225163","653","418","209","732","841.17","128.89"
"高雄市左營區","果惠里","356","197761","556","414","193","694","690.57","124.31"
"高雄市左營區","果貿里","798","520968","653","476","225","885","666.34","102.07"
"高雄市左營區","海勝里","1521","878181","577","411","200","720","651.76","112.88"
"高雄市左營區","莒光里","497","303038","610","433","209","771","681.14","111.71"
"高雄市左營區","永清里","325","264464","814","758","600","972","366.90","45.09"
"高雄市左營區","果峰里","342","177718","520","351","156","616","661.75","127.35"
"高雄市左營區","光輝里","783","589944","753","488","218","977","934.22","123.99"
"高雄市左營區","菜公里","10859","10663889","982","619","291","1215","1222.31","124.47"
"高雄市左營區","祥和里","83","44877","541","342","151","549","912.60","168.79"
"高雄市左營區","新光里","5073","5064238","998","581","272","1170","1701.08","170.40"
"高雄市左營區","明建里","370","318687","861","701","350","1087","813.56","94.46"
"高雄市左營區","福山里","13404","12485877","932","606","284","1161","1146.13","123.04"
"高雄市左營區","其他","6","3281","547","449","377","697","284.94","52.10"
"高雄市左營區","合計","59021","54617047","925","577","270","1127","1277.95","138.10"
"高雄市楠梓區","東寧里","1829","1680645","919","669","318","1197","925.43","100.71"
"高雄市楠梓區","享平里","1087","783027","720","485","235","942","883.27","122.62"
"高雄市楠梓區","五常里","2127","1453343","683","481","244","871","705.96","103.32"
"高雄市楠梓區","惠民里","1505","1148112","763","529","265","962","855.22","112.11"
"高雄市楠梓區","中陽里","1129","884879","784","494","251","850","2466.50","314.70"
"高雄市楠梓區","清豐里","8250","6815843","826","576","285","1062","958.03","115.96"
"高雄市楠梓區","稔田里","468","371723","794","507","246","981","1027.84","129.41"
"高雄市楠梓區","玉屏里","586","415724","709","517","245","919","724.69","102.15"
"高雄市楠梓區","錦屏里","868","583618","672","472","218","870","673.84","100.22"
"高雄市楠梓區","金田里","1416","1057714","747","544","276","979","851.13","113.94"
