"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"宜蘭縣宜蘭市","南門里","423","284015","671","437","235","844","708.64","105.54"
"宜蘭縣宜蘭市","建軍里","546","375357","687","450","221","909","779.29","113.36"
"宜蘭縣宜蘭市","民族里","715","509269","712","478","210","934","854.60","119.98"
"宜蘭縣宜蘭市","思源里","1690","1544191","914","592","273","1184","1009.51","110.48"
"宜蘭縣宜蘭市","負郭里","950","682548","718","476","230","868","861.39","119.89"
"宜蘭縣宜蘭市","神農里","819","562256","687","480","239","854","699.56","101.90"
"宜蘭縣宜蘭市","民權里","518","373178","720","473","217","892","800.08","111.06"
"宜蘭縣宜蘭市","慈安里","531","295755","557","424","204","688","589.75","105.88"
"宜蘭縣宜蘭市","新民里","446","300298","673","440","209","821","875.12","129.97"
"宜蘭縣宜蘭市","東門里","271","210953","778","484","220","981","924.27","118.74"
"宜蘭縣宜蘭市","小東里","474","341348","720","463","241","965","764.21","106.12"
"宜蘭縣宜蘭市","菜園里","409","278470","681","481","211","889","734.68","107.91"
"宜蘭縣宜蘭市","孝廉里","299","188662","631","458","230","749","691.60","109.61"
"宜蘭縣宜蘭市","中山里","251","158231","630","394","172","849","702.24","111.40"
"宜蘭縣宜蘭市","北門里","324","200195","618","444","222","786","631.41","102.19"
"宜蘭縣宜蘭市","西門里","496","304938","615","400","206","757","699.10","113.71"
"宜蘭縣宜蘭市","凱旋里","504","371644","737","494","240","869","989.62","134.21"
"宜蘭縣宜蘭市","南津里","795","776613","977","596","290","1238","1246.08","127.56"
"宜蘭縣宜蘭市","建業里","822","971111","1181","685","292","1476","1517.61","128.46"
"宜蘭縣宜蘭市","南橋里","409","344524","842","512","248","1092","982.77","116.67"
"宜蘭縣宜蘭市","進士里","786","582930","742","486","259","934","830.64","112.00"
"宜蘭縣宜蘭市","茭白里","696","456279","656","468","219","857","708.33","108.05"
"宜蘭縣宜蘭市","新生里","865","553867","640","469","229","797","666.00","104.01"
"宜蘭縣宜蘭市","梅洲里","960","547537","570","408","212","725","594.14","104.17"
"宜蘭縣宜蘭市","北津里","662","391387","591","421","213","775","632.99","107.07"
"宜蘭縣宜蘭市","東村里","786","591810","753","511","256","1000","789.16","104.81"
"宜蘭縣宜蘭市","延平里","1175","914499","778","526","272","1011","869.36","111.70"
"宜蘭縣宜蘭市","黎明里","666","548226","823","566","298","979","905.24","109.97"
"宜蘭縣宜蘭市","七張里","447","278436","623","452","217","756","702.77","112.82"
"宜蘭縣宜蘭市","復興里","859","616663","718","460","239","890","845.00","117.71"
"宜蘭縣宜蘭市","文化里","982","748803","763","520","224","979","874.79","114.72"
"宜蘭縣宜蘭市","七結里","1001","843848","843","560","273","1086","895.07","106.18"
"宜蘭縣宜蘭市","大新里","240","169118","705","438","214","878","1074.75","152.52"
"宜蘭縣宜蘭市","中興里","868","540662","623","453","221","769","708.30","113.71"
"宜蘭縣宜蘭市","成功里","1088","836580","769","541","274","1013","754.52","98.13"
"宜蘭縣宜蘭市","泰山里","588","345447","587","409","201","805","627.70","106.84"
"宜蘭縣宜蘭市","新東里","1027","771338","751","472","239","907","1162.38","154.76"
"宜蘭縣宜蘭市","擺厘里","1081","865534","801","512","248","1015","950.63","118.73"
"宜蘭縣宜蘭市","其他","0","0","0","0","0","0","0.00","0.00"
"宜蘭縣宜蘭市","合計","26469","19676519","743","488","239","939","883.18","118.81"
"宜蘭縣頭城鎮","石城里","59","46188","783","393","245","689","2156.71","275.50"
"宜蘭縣頭城鎮","大里里","119","65160","548","348","188","687","618.90","113.03"
"宜蘭縣頭城鎮","大溪里","122","62682","514","352","166","601","588.96","114.63"
"宜蘭縣頭城鎮","更新里","250","134186","537","411","207","692","578.06","107.70"
"宜蘭縣頭城鎮","合興里","62","35869","579","397","169","745","641.43","110.87"
"宜蘭縣頭城鎮","外澳里","173","100309","580","403","205","654","659.69","113.78"
"宜蘭縣頭城鎮","港口里","186","125164","673","384","198","697","984.86","146.36"
"宜蘭縣頭城鎮","武營里","422","293337","695","453","222","871","835.15","120.15"
"宜蘭縣頭城鎮","城東里","184","122882","668","421","197","850","784.57","117.48"
"宜蘭縣頭城鎮","城西里","158","116588","738","417","234","731","1506.81","204.20"
"宜蘭縣頭城鎮","城南里","174","120646","693","398","218","855","923.33","133.17"
"宜蘭縣頭城鎮","城北里","118","64816","549","319","171","692","572.77","104.28"
"宜蘭縣頭城鎮","大坑里","320","205652","643","448","202","798","818.96","127.43"
"宜蘭縣頭城鎮","竹安里","449","215271","479","372","178","622","472.72","98.60"
"宜蘭縣頭城鎮","新建里","535","331127","619","437","210","815","639.46","103.32"
"宜蘭縣頭城鎮","拔雅里","614","407365","663","442","219","869","740.18","111.56"
"宜蘭縣頭城鎮","福成里","227","123920","546","377","203","709","535.25","98.05"
"宜蘭縣頭城鎮","金面里","490","268552","548","369","206","672","678.73","123.84"
"宜蘭縣頭城鎮","金盈里","186","109682","590","400","202","676","627.21","106.36"
"宜蘭縣頭城鎮","頂埔里","355","240624","678","427","225","736","1119.82","165.21"
"宜蘭縣頭城鎮","下埔里","216","119116","551","392","203","699","585.29","106.13"
"宜蘭縣頭城鎮","中崙里","270","172278","638","398","210","790","819.42","128.42"
"宜蘭縣頭城鎮","二城里","272","146494","539","365","176","634","576.07","106.96"
"宜蘭縣頭城鎮","龜山里","83","39554","477","347","150","670","454.47","95.36"
"宜蘭縣頭城鎮","其他","0","0","0","0","0","0","0.00","0.00"
"宜蘭縣頭城鎮","合計","6044","3667462","607","400","203","744","786.27","129.58"
"宜蘭縣礁溪鄉","大忠村","771","511019","663","424","197","827","766.15","115.59"
"宜蘭縣礁溪鄉","大義村","146","93143","638","444","242","824","593.33","93.00"
"宜蘭縣礁溪鄉","二龍村","319","210342","659","455","250","798","688.03","104.34"
"宜蘭縣礁溪鄉","德陽村","1342","1049818","782","491","241","927","963.65","123.18"
"宜蘭縣礁溪鄉","白雲村","434","271321","625","429","180","785","732.57","117.18"
"宜蘭縣礁溪鄉","玉石村","634","515980","814","485","229","928","1234.79","151.72"
"宜蘭縣礁溪鄉","六結村","406","293560","723","492","252","893","812.34","112.35"
"宜蘭縣礁溪鄉","時潮村","361","204897","568","411","225","709","592.39","104.37"
"宜蘭縣礁溪鄉","林美村","273","139806","512","419","207","651","478.69","93.47"
