"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"嘉義市東區","中庄里","1011","802510","794","506","225","986","976.90","123.07"
"嘉義市東區","頂庄里","731","590223","807","545","251","1086","869.34","107.67"
"嘉義市東區","王田里","823","768349","934","562","267","1177","1212.33","129.86"
"嘉義市東區","圳頭里","1336","1056240","791","527","248","997","891.92","112.82"
"嘉義市東區","鹿寮里","283","202164","714","522","223","841","816.78","114.34"
"嘉義市東區","盧厝里","656","685742","1045","576","281","1219","1352.90","129.42"
"嘉義市東區","短竹里","810","814899","1006","629","283","1200","1348.75","134.06"
"嘉義市東區","長竹里","1061","1158286","1092","632","283","1310","1492.45","136.71"
"嘉義市東區","後庄里","1199","862239","719","486","236","932","754.02","104.85"
"嘉義市東區","東川里","622","625933","1006","643","286","1204","1252.84","124.50"
"嘉義市東區","太平里","1523","1369357","899","557","265","1088","1112.88","123.77"
"嘉義市東區","興南里","440","325581","740","487","214","906","913.75","123.49"
"嘉義市東區","豐年里","367","309446","843","494","222","1034","1108.03","131.41"
"嘉義市東區","新開里","619","490790","793","565","232","1057","846.07","106.71"
"嘉義市東區","宣信里","325","226152","696","426","186","820","1029.14","147.90"
"嘉義市東區","芳草里","975","681630","699","479","232","874","787.64","112.66"
"嘉義市東區","安寮里","851","610736","718","461","209","936","806.49","112.38"
"嘉義市東區","興村里","1258","882446","701","483","239","875","846.87","120.73"
"嘉義市東區","頂寮里","773","593699","768","502","240","951","910.22","118.51"
"嘉義市東區","荖藤里","1522","1201868","790","541","280","1034","857.03","108.53"
"嘉義市東區","後湖里","1157","858658","742","498","237","928","937.04","126.26"
"嘉義市東區","過溝里","681","560564","823","483","228","988","1113.25","135.24"
"嘉義市東區","民族里","392","298667","762","506","202","931","1037.34","136.15"
"嘉義市東區","朝陽里","521","372165","714","475","209","910","821.27","114.97"
"嘉義市東區","華南里","590","403281","684","456","221","884","917.67","134.26"
"嘉義市東區","東興里","605","561128","927","558","263","1112","1262.13","136.08"
"嘉義市東區","中山里","677","672630","994","572","251","1123","1441.22","145.06"
"嘉義市東區","中央里","682","534442","784","419","211","860","1171.17","149.45"
"嘉義市東區","林森里","733","666843","910","573","253","1131","1175.93","129.26"
"嘉義市東區","北門里","626","485413","775","446","224","937","1006.89","129.85"
"嘉義市東區","蘭潭里","736","576596","783","452","213","938","1092.38","139.44"
"嘉義市東區","文雅里","1404","1619695","1154","672","299","1354","1966.06","170.42"
"嘉義市東區","安業里","621","440254","709","500","233","961","757.37","106.83"
"嘉義市東區","義教里","879","630433","717","439","200","849","1008.97","140.68"
"嘉義市東區","興安里","1063","821025","772","540","257","1026","803.46","104.03"
"嘉義市東區","興仁里","1091","764157","700","497","238","902","784.93","112.07"
"嘉義市東區","新店里","1450","1345077","928","577","281","1137","1167.60","125.87"
"嘉義市東區","仁義里","901","704403","782","531","278","948","922.32","117.97"
"嘉義市東區","芳安里","672","558010","830","549","232","1014","1034.19","124.55"
"嘉義市東區","其他","0","0","0","0","0","0","0.00","0.00"
"嘉義市東區","合計","32666","27131729","831","524","244","1023","1091.54","131.42"
"嘉義市西區","永和里","440","287220","653","428","215","849","734.74","112.56"
"嘉義市西區","新富里","471","338941","720","501","191","1004","757.05","105.20"
"嘉義市西區","文化里","728","591112","812","531","232","1054","964.30","118.76"
"嘉義市西區","西榮里","635","468670","738","473","220","925","917.17","124.27"
"嘉義市西區","國華里","434","408976","942","530","233","1119","1365.02","144.85"
"嘉義市西區","番社里","437","385170","881","534","252","995","1125.93","127.74"
"嘉義市西區","導明里","427","310057","726","458","175","955","811.49","111.76"
"嘉義市西區","慶安里","380","231536","609","420","224","766","608.95","99.94"
"嘉義市西區","後驛里","520","325944","627","443","207","802","681.85","108.78"
"嘉義市西區","福安里","1420","1140688","803","520","256","1025","922.92","114.89"
"嘉義市西區","獅子里","846","622690","736","474","256","878","1057.00","143.61"
