"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新竹縣竹東鎮","上坪里","60","38881","648","500","328","682","630.73","97.33"
"新竹縣竹東鎮","瑞峰里","103","89617","870","485","219","800","1771.80","203.64"
"新竹縣竹東鎮","軟橋里","87","70697","813","475","237","851","1164.55","143.31"
"新竹縣竹東鎮","員崠里","756","575531","761","486","240","966","890.91","117.03"
"新竹縣竹東鎮","上舘里","3335","2964508","889","507","261","1053","1235.62","139.00"
"新竹縣竹東鎮","東寧里","1230","1082810","880","561","282","1107","1018.09","115.65"
"新竹縣竹東鎮","大鄉里","1695","1543305","911","514","265","1093","1281.05","140.70"
"新竹縣竹東鎮","東華里","204","171104","839","517","256","937","1118.80","133.39"
"新竹縣竹東鎮","商華里","869","632641","728","476","252","882","932.80","128.13"
"新竹縣竹東鎮","竹東里","421","303376","721","470","215","943","867.52","120.39"
"新竹縣竹東鎮","榮樂里","425","355649","837","539","238","1071","1185.43","141.66"
"新竹縣竹東鎮","鷄林里","1246","1088574","874","525","269","1021","1142.31","130.75"
"新竹縣竹東鎮","五豐里","2699","2171147","804","499","256","973","1161.21","144.35"
"新竹縣竹東鎮","三重里","2472","2870678","1161","634","291","1420","1604.35","138.15"
"新竹縣竹東鎮","二重里","4993","7967699","1596","949","414","2059","2095.10","131.29"
"新竹縣竹東鎮","柯湖里","159","141226","888","485","257","973","1289.29","145.15"
"新竹縣竹東鎮","頭重里","1753","2871089","1638","768","335","1979","3037.60","185.47"
"新竹縣竹東鎮","員山里","704","843163","1198","621","282","1238","1820.92","152.04"
"新竹縣竹東鎮","仁愛里","1106","1033990","935","546","262","1157","1276.44","136.53"
"新竹縣竹東鎮","中山里","525","383654","731","423","217","858","960.18","131.39"
"新竹縣竹東鎮","中正里","1036","1136696","1097","664","329","1366","1278.08","116.49"
"新竹縣竹東鎮","南華里","363","358067","986","554","230","1244","1242.32","125.94"
"新竹縣竹東鎮","榮華里","2646","2532096","957","591","284","1173","1475.15","154.15"
"新竹縣竹東鎮","忠孝里","544","394530","725","459","225","881","923.05","127.28"
"新竹縣竹東鎮","陸豐里","170","153821","905","566","260","954","1434.69","158.56"
"新竹縣竹東鎮","其他","2","1279","640","640","590","689","139.68","21.83"
"新竹縣竹東鎮","合計","29603","31775830","1073","591","288","1257","1627.44","151.62"
"新竹縣關西鎮","東興里","150","115429","770","572","231","882","832.83","108.23"
"新竹縣關西鎮","西安里","601","413734","688","434","217","841","862.42","125.28"
"新竹縣關西鎮","南雄里","201","132873","661","402","207","803","774.14","117.11"
"新竹縣關西鎮","北斗里","1211","903682","746","492","250","922","927.05","124.23"
"新竹縣關西鎮","仁安里","298","190114","638","430","247","749","828.86","129.92"
"新竹縣關西鎮","南山里","305","190361","624","429","239","747","652.96","104.62"
"新竹縣關西鎮","北山里","199","128654","647","429","238","758","737.85","114.13"
"新竹縣關西鎮","東安里","1226","882939","720","468","256","919","954.97","132.60"
"新竹縣關西鎮","東光里","378","290344","768","485","262","885","1062.48","138.32"
"新竹縣關西鎮","新富里","119","78847","663","467","242","719","1224.40","184.79"
"新竹縣關西鎮","玉山里","78","44534","571","363","160","672","710.57","124.45"
"新竹縣關西鎮","錦山里","191","103778","543","377","228","678","544.27","100.17"
"新竹縣關西鎮","金山里","109","58504","537","359","205","747","480.64","89.55"
"新竹縣關西鎮","石光里","545","389634","715","494","257","886","771.52","107.92"
"新竹縣關西鎮","大同里","212","131433","620","431","254","785","661.91","106.77"
"新竹縣關西鎮","上林里","192","156728","816","518","269","942","1116.71","136.80"
"新竹縣關西鎮","新力里","151","97851","648","451","259","758","670.84","103.52"
"新竹縣關西鎮","南和里","254","167328","659","439","258","806","750.61","113.94"
"新竹縣關西鎮","東山里","210","138554","660","464","249","713","775.72","117.57"
"新竹縣關西鎮","東平里","270","174822","647","462","243","794","663.76","102.51"
"新竹縣關西鎮","南新里","200","119275","596","392","195","666","897.51","150.49"
"新竹縣關西鎮","其他","0","0","0","0","0","0","0.00","0.00"
"新竹縣關西鎮","合計","7100","4909417","691","460","241","845","862.89","124.79"
"新竹縣新埔鎮","新埔里","287","267343","932","550","273","1042","1318.00","141.49"
"新竹縣新埔鎮","新生里","160","113378","709","492","237","828","784.08","110.65"
"新竹縣新埔鎮","四座里","1123","898081","800","518","259","994","936.70","117.13"
"新竹縣新埔鎮","五埔里","617","401764","651","492","255","850","627.93","96.43"
"新竹縣新埔鎮","田新里","1447","1338625","925","633","325","1211","965.60","104.38"
"新竹縣新埔鎮","旱坑里","546","380755","697","465","238","824","794.37","113.91"
"新竹縣新埔鎮","北平里","179","117194","655","458","229","753","1063.29","162.41"
"新竹縣新埔鎮","南平里","278","190480","685","456","247","767","858.49","125.29"
"新竹縣新埔鎮","上寮里","592","458817","775","487","259","865","945.08","121.94"
"新竹縣新埔鎮","下寮里","900","1050481","1167","548","281","1085","3122.98","267.56"
"新竹縣新埔鎮","巨埔里","332","235169","708","445","205","891","812.73","114.74"
"新竹縣新埔鎮","照門里","368","252101","685","470","257","838","869.61","126.94"
"新竹縣新埔鎮","清水里","113","70113","620","441","226","754","599.64","96.64"
"新竹縣新埔鎮","鹿鳴里","207","148371","717","491","248","846","955.64","133.33"
"新竹縣新埔鎮","新北里","160","94077","588","383","213","688","718.86","122.26"
"新竹縣新埔鎮","內立里","302","205911","682","440","237","822","753.48","110.51"
"新竹縣新埔鎮","寶石里","273","206303","756","494","259","930","1021.25","135.14"
"新竹縣新埔鎮","新民里","331","256711","776","508","272","862","1143.59","147.45"
"新竹縣新埔鎮","文山里","1885","2348785","1246","638","315","1429","1719.81","138.02"
"新竹縣新埔鎮","其他","5","3282","656","481","381","1064","403.32","61.45"
"新竹縣新埔鎮","合計","10105","9037740","894","530","270","1019","1440.58","161.07"
"新竹縣竹北市","竹北里","3822","6182448","1618","1017","421","2062","2017.74","124.74"
"新竹縣竹北市","竹仁里","3407","3567685","1047","594","281","1272","1357.92","129.68"
"新竹縣竹北市","竹義里","2225","2403279","1080","620","276","1293","1511.88","139.97"
"新竹縣竹北市","新社里","2861","3209819","1122","635","299","1362","1534.07","136.74"
"新竹縣竹北市","新國里","2656","3567921","1343","829","381","1760","1514.15","112.72"
"新竹縣竹北市","聯興里","1690","1667407","987","592","280","1158","1362.81","138.13"
"新竹縣竹北市","斗崙里","3420","8265249","2417","1332","529","3102","3575.14","147.93"
"新竹縣竹北市","鹿場里","5126","17103161","3337","2039","772","4352","5039.86","151.05"
"新竹縣竹北市","東平里","6149","20698561","3366","2403","977","4559","3654.82","108.58"
"新竹縣竹北市","中興里","4021","13972896","3475","1985","689","4579","6368.49","183.27"
"新竹縣竹北市","隘口里","1690","4869717","2881","1903","698","3818","6195.29","215.00"
"新竹縣竹北市","東海里","1010","849787","841","521","254","1047","1009.91","120.03"
"新竹縣竹北市","十興里","3174","7805074","2459","1660","666","3245","2911.77","118.41"
"新竹縣竹北市","麻園里","737","705909","958","604","285","1182","1160.17","121.13"
"新竹縣竹北市","溪州里","913","936680","1026","610","278","1137","2084.91","203.22"
"新竹縣竹北市","白地里","779","574711","738","468","251","876","835.45","113.24"
"新竹縣竹北市","新庄里","396","303716","767","489","256","874","1186.89","154.75"
"新竹縣竹北市","新港里","382","317873","832","520","294","1061","910.40","109.41"
"新竹縣竹北市","大義里","558","441012","790","472","268","839","1085.40","137.33"
"新竹縣竹北市","尚義里","527","388354","737","521","260","904","907.23","123.11"
"新竹縣竹北市","崇義里","588","421678","717","484","247","871","907.96","126.61"
"新竹縣竹北市","大眉里","668","578632","866","524","267","1015","1097.91","126.75"
"新竹縣竹北市","泰和里","2475","2850364","1152","676","319","1421","1491.12","129.48"
"新竹縣竹北市","北崙里","1556","2375619","1527","756","352","1788","2478.92","162.37"
"新竹縣竹北市","新崙里","2865","3959598","1382","776","343","1727","1973.71","142.81"
"新竹縣竹北市","福德里","1161","1099716","947","577","247","1143","1378.10","145.49"
"新竹縣竹北市","興安里","1622","3558583","2194","1222","443","2821","2937.63","133.90"
"新竹縣竹北市","東興里","3895","8546045","2194","1449","620","2939","2605.83","118.77"
"新竹縣竹北市","北興里","3319","8643965","2604","1800","803","3486","3377.40","129.68"
"新竹縣竹北市","文化里","1436","2865348","1995","923","380","2239","3379.53","169.37"
"新竹縣竹北市","中崙里","3070","7520749","2450","1522","566","3337","3067.33","125.21"
"新竹縣竹北市","其他","5","9988","1998","943","749","2269","2096.03","104.93"
"新竹縣竹北市","合計","68203","140261540","2057","1067","423","2583","3366.99","163.72"
"新竹縣湖口鄉","長嶺村","1099","762628","694","470","250","832","812.48","117.08"
"新竹縣湖口鄉","中勢村","1310","1130471","863","601","299","1067","988.35","114.53"
"新竹縣湖口鄉","孝勢村","433","317054","732","467","236","911","896.82","122.48"
"新竹縣湖口鄉","仁勢村","280","203036","725","461","254","871","844.34","116.44"
"新竹縣湖口鄉","愛勢村","1455","1065498","732","497","272","907","952.29","130.04"
"新竹縣湖口鄉","信勢村","1891","1519522","804","544","288","1011","865.90","107.76"
"新竹縣湖口鄉","和興村","984","655019","666","458","250","799","741.46","111.39"
"新竹縣湖口鄉","德盛村","1878","1353757","721","520","282","927","726.13","100.73"
"新竹縣湖口鄉","波羅村","829","550721","664","470","250","839","715.80","107.75"
"新竹縣湖口鄉","鳳山村","1211","781594","645","476","257","815","630.88","97.75"
"新竹縣湖口鄉","鳳凰村","1999","1306653","654","466","268","809","715.27","109.43"
"新竹縣湖口鄉","湖口村","963","693481","720","468","254","854","971.58","134.92"
"新竹縣湖口鄉","湖鏡村","915","710019","776","499","274","902","952.48","122.75"
"新竹縣湖口鄉","湖南村","499","322601","646","429","228","763","795.44","123.04"
"新竹縣湖口鄉","長安村","315","197338","626","450","248","720","838.99","133.92"
"新竹縣湖口鄉","中興村","2501","1727111","691","530","289","878","719.52","104.19"
"新竹縣湖口鄉","信義村","1661","1406684","847","560","297","1011","1024.40","120.96"
"新竹縣湖口鄉","中正村","1550","1588969","1025","692","339","1262","1154.08","112.58"
"新竹縣湖口鄉","東興村","1804","1359944","754","502","275","894","1144.27","151.79"
"新竹縣湖口鄉","勝利村","1622","1072706","661","486","274","836","667.77","100.97"
"新竹縣湖口鄉","其他","0","0","0","0","0","0","0.00","0.00"
