"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"苗栗縣苗栗市","中苗里","413","336987","816","526","247","1079","1056.56","129.49"
"苗栗縣苗栗市","青苗里","367","275147","750","521","231","978","791.86","105.62"
"苗栗縣苗栗市","玉苗里","240","151621","632","386","182","807","748.70","118.51"
"苗栗縣苗栗市","綠苗里","220","145012","659","420","226","757","794.70","120.57"
"苗栗縣苗栗市","高苗里","1091","917471","841","513","241","1005","1964.56","233.61"
"苗栗縣苗栗市","恭敬里","425","334945","788","516","292","1041","861.22","109.28"
"苗栗縣苗栗市","新苗里","286","191224","669","466","210","916","691.47","103.42"
"苗栗縣苗栗市","勝利里","1272","946751","744","531","273","987","721.90","96.99"
"苗栗縣苗栗市","維祥里","1152","890898","773","486","246","988","866.64","112.06"
"苗栗縣苗栗市","玉清里","780","568442","729","511","247","1024","737.05","101.14"
"苗栗縣苗栗市","嘉盛里","1236","930329","753","537","252","978","803.88","106.80"
"苗栗縣苗栗市","福星里","1535","1194629","778","539","263","1058","766.96","98.55"
"苗栗縣苗栗市","北苗里","1927","1605099","833","560","278","1139","875.14","105.06"
"苗栗縣苗栗市","上苗里","578","481079","832","539","217","1080","1104.56","132.71"
"苗栗縣苗栗市","福麗里","1870","1525932","816","542","263","1074","1177.37","144.28"
"苗栗縣苗栗市","新川里","344","300115","872","445","216","891","2597.18","297.70"
"苗栗縣苗栗市","新英里","492","317534","645","445","209","835","772.07","119.63"
"苗栗縣苗栗市","清華里","1113","832506","748","525","245","998","849.40","113.56"
"苗栗縣苗栗市","水源里","831","544431","655","457","240","826","716.22","109.32"
"苗栗縣苗栗市","文山里","1693","1471957","869","634","301","1111","1068.18","122.86"
"苗栗縣苗栗市","建功里","1438","1089273","757","498","243","1012","835.30","110.27"
"苗栗縣苗栗市","大同里","142","95314","671","378","175","819","1042.31","155.28"
"苗栗縣苗栗市","玉華里","1190","950654","799","554","286","1102","813.00","101.77"
"苗栗縣苗栗市","維新里","1168","873612","748","503","254","1008","784.45","104.88"
"苗栗縣苗栗市","福安里","1240","913755","737","512","255","967","930.56","126.28"
"苗栗縣苗栗市","嘉新里","994","781025","786","541","266","1024","948.04","120.66"
"苗栗縣苗栗市","南勢里","587","323184","551","409","197","733","565.43","102.70"
"苗栗縣苗栗市","文聖里","1247","999211","801","552","291","1092","814.73","101.68"
"苗栗縣苗栗市","其他","0","0","0","0","0","0","0.00","0.00"
"苗栗縣苗栗市","合計","25871","19988136","773","522","256","1014","993.82","128.63"
"苗栗縣苑裡鎮","苑東里","674","465385","690","434","203","879","885.94","128.31"
"苗栗縣苑裡鎮","西平里","491","275453","561","383","205","694","750.66","133.81"
"苗栗縣苑裡鎮","苑南里","428","303170","708","503","225","909","749.45","105.80"
"苗栗縣苑裡鎮","苑北里","245","161430","659","442","193","817","963.12","146.17"
"苗栗縣苑裡鎮","西勢里","630","405630","644","415","219","790","819.36","127.26"
"苗栗縣苑裡鎮","海岸里","282","137614","488","349","160","685","455.12","93.26"
"苗栗縣苑裡鎮","客庄里","1395","1037087","743","474","236","916","867.70","116.72"
"苗栗縣苑裡鎮","苑坑里","261","153718","589","373","220","611","877.62","149.01"
"苗栗縣苑裡鎮","水坡里","151","91674","607","395","190","766","623.81","102.75"
"苗栗縣苑裡鎮","山脚里","381","220731","579","394","214","763","583.29","100.68"
"苗栗縣苑裡鎮","舊社里","560","319977","571","377","192","677","720.45","126.09"
"苗栗縣苑裡鎮","福田里","348","218905","629","428","223","722","894.84","142.26"
"苗栗縣苑裡鎮","石鎮里","138","89871","651","405","236","751","771.53","118.47"
"苗栗縣苑裡鎮","蕉埔里","193","122902","637","386","221","756","1120.21","175.91"
"苗栗縣苑裡鎮","社苓里","768","449894","586","408","219","692","673.95","115.05"
"苗栗縣苑裡鎮","泰田里","495","271151","548","394","202","684","568.03","103.70"
"苗栗縣苑裡鎮","上舘里","414","204224","493","353","177","607","526.36","106.70"
"苗栗縣苑裡鎮","玉田里","494","276469","560","397","205","727","570.17","101.88"
"苗栗縣苑裡鎮","南勢里","182","94677","520","380","178","615","534.90","102.83"
"苗栗縣苑裡鎮","山柑里","417","265252","636","396","204","735","856.30","134.62"
"苗栗縣苑裡鎮","田心里","628","348923","556","374","179","660","655.74","118.02"
"苗栗縣苑裡鎮","新復里","426","301034","707","461","226","895","976.33","138.16"
"苗栗縣苑裡鎮","中正里","714","453105","635","429","219","746","876.96","138.19"
"苗栗縣苑裡鎮","苑港里","310","159304","514","392","194","669","490.62","95.47"
"苗栗縣苑裡鎮","房裡里","644","372751","579","388","203","677","668.86","115.56"
"苗栗縣苑裡鎮","其他","0","0","0","0","0","0","0.00","0.00"
"苗栗縣苑裡鎮","合計","11669","7200332","617","409","206","747","767.07","124.31"
"苗栗縣通霄鎮","通東里","310","191874","619","428","209","800","638.07","103.09"
"苗栗縣通霄鎮","通西里","577","387857","672","464","212","866","703.11","104.60"
"苗栗縣通霄鎮","平元里","559","370175","662","444","235","790","835.38","126.15"
"苗栗縣通霄鎮","圳頭里","164","82760","505","342","187","645","645.56","127.93"
"苗栗縣通霄鎮","梅南里","429","236061","550","394","203","675","601.26","109.27"
"苗栗縣通霄鎮","通灣里","606","341638","564","398","211","741","586.24","103.99"
"苗栗縣通霄鎮","新埔里","266","144701","544","396","192","689","541.93","99.62"
"苗栗縣通霄鎮","白東里","418","269910","646","468","247","767","779.61","120.74"
"苗栗縣通霄鎮","白西里","172","99443","578","407","222","770","576.10","99.65"
"苗栗縣通霄鎮","內島里","183","108662","594","445","214","768","597.61","100.64"
"苗栗縣通霄鎮","烏眉里","200","142140","711","444","234","776","973.39","136.96"
"苗栗縣通霄鎮","楓樹里","96","65128","678","366","189","819","929.33","136.99"
"苗栗縣通霄鎮","內湖里","526","284219","540","404","221","674","547.54","101.33"
"苗栗縣通霄鎮","福源里","193","119900","621","381","227","726","729.62","117.44"
"苗栗縣通霄鎮","城北里","156","93942","602","423","209","747","693.65","115.19"
"苗栗縣通霄鎮","城南里","214","141280","660","403","174","770","823.11","124.68"
"苗栗縣通霄鎮","南和里","181","120885","668","424","191","746","861.86","129.04"
"苗栗縣通霄鎮","福興里","133","76214","573","402","180","667","740.17","129.17"
"苗栗縣通霄鎮","坪頂里","315","175494","557","372","196","724","619.12","111.13"
"苗栗縣通霄鎮","五北里","335","183739","548","377","205","664","675.69","123.19"
"苗栗縣通霄鎮","五南里","346","181285","524","380","182","670","563.94","107.63"
