"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"南投縣南投市","龍泉里","276","164682","597","412","198","717","698.25","117.02"
"南投縣南投市","康壽里","433","294210","679","437","231","836","839.89","123.61"
"南投縣南投市","三民里","277","222604","804","545","291","968","932.40","116.02"
"南投縣南投市","仁和里","173","124774","721","434","216","719","1076.06","149.20"
"南投縣南投市","南投里","174","135129","777","451","224","844","982.63","126.53"
"南投縣南投市","彰仁里","122","87613","718","479","180","933","807.68","112.47"
"南投縣南投市","崇文里","304","223042","734","508","253","833","976.63","133.11"
"南投縣南投市","漳興里","822","563450","685","453","226","870","882.48","128.74"
"南投縣南投市","漳和里","2387","1618169","678","453","229","828","856.30","126.32"
"南投縣南投市","軍功里","1308","790177","604","419","222","759","683.46","113.13"
"南投縣南投市","東山里","85","46531","547","392","223","611","579.82","105.92"
"南投縣南投市","平和里","1963","1361253","693","464","228","873","918.15","132.40"
"南投縣南投市","振興里","584","349069","598","397","192","739","694.04","116.11"
"南投縣南投市","千秋里","278","178537","642","450","239","808","664.46","103.46"
"南投縣南投市","三興里","1863","1348519","724","481","228","950","781.04","107.90"
"南投縣南投市","三和里","926","711386","768","493","234","1009","913.28","118.88"
"南投縣南投市","嘉興里","549","328985","599","422","206","751","726.58","121.25"
"南投縣南投市","嘉和里","1487","977710","658","457","227","806","896.10","136.29"
"南投縣南投市","鳳鳴里","135","80198","594","415","213","733","732.88","123.37"
"南投縣南投市","鳳山里","233","131234","563","398","209","651","760.69","135.06"
"南投縣南投市","平山里","1683","989146","588","403","221","705","672.54","114.43"
"南投縣南投市","新興里","1682","926339","551","396","209","667","568.88","103.29"
"南投縣南投市","永豐里","875","469598","537","391","199","670","611.24","113.89"
"南投縣南投市","福興里","868","580419","669","408","212","700","2446.55","365.88"
"南投縣南投市","營北里","2268","2113745","932","605","287","1187","1113.09","119.43"
"南投縣南投市","營南里","791","521405","659","450","237","796","752.39","114.14"
"南投縣南投市","內新里","988","642532","650","462","233","885","647.64","99.59"
"南投縣南投市","內興里","1880","1591295","846","547","262","1089","1113.36","131.54"
"南投縣南投市","光華里","191","134541","704","471","218","885","788.88","111.99"
"南投縣南投市","光榮里","265","169443","639","433","173","790","749.07","117.15"
"南投縣南投市","光明里","248","177796","717","506","262","954","733.66","102.34"
"南投縣南投市","光輝里","162","116625","720","492","218","901","850.62","118.16"
"南投縣南投市","福山里","467","251048","538","371","198","655","860.43","160.06"
"南投縣南投市","永興里","150","86651","578","371","225","690","651.76","112.83"
"南投縣南投市","其他","1","2153","2153","2153","2153","2153","0.00","0.00"
"南投縣南投市","合計","26898","18510008","688","456","227","846","947.57","137.70"
"南投縣埔里鎮","東門里","628","365657","582","376","184","713","662.63","113.80"
"南投縣埔里鎮","西門里","733","408918","558","398","179","736","584.33","104.74"
"南投縣埔里鎮","南門里","219","159602","729","469","196","920","858.46","117.80"
"南投縣埔里鎮","北門里","560","349790","625","426","193","765","686.01","109.83"
"南投縣埔里鎮","薰化里","272","207251","762","477","226","836","1259.96","165.36"
"南投縣埔里鎮","清新里","845","494699","585","384","189","705","726.79","124.14"
"南投縣埔里鎮","同聲里","462","272371","590","367","157","711","885.59","150.22"
"南投縣埔里鎮","大城里","1461","884015","605","426","201","767","691.52","114.29"
"南投縣埔里鎮","籃城里","214","131409","614","391","174","778","842.57","137.21"
"南投縣埔里鎮","枇杷里","1886","1161069","616","416","195","794","681.14","110.64"
"南投縣埔里鎮","杷城里","630","402108","638","436","217","778","690.91","108.25"
"南投縣埔里鎮","水頭里","833","471044","565","380","156","696","679.09","120.09"
"南投縣埔里鎮","麒麟里","161","87322","542","371","200","669","628.67","115.91"
"南投縣埔里鎮","珠格里","203","125905","620","356","186","814","726.55","117.14"
"南投縣埔里鎮","溪南里","234","143487","613","411","206","636","932.13","152.01"
"南投縣埔里鎮","桃米里","176","108532","617","388","187","726","667.73","108.28"
"南投縣埔里鎮","南村里","282","160589","569","354","168","691","678.13","119.08"
"南投縣埔里鎮","愛蘭里","333","223892","672","437","183","887","717.86","106.77"
"南投縣埔里鎮","鐵山里","361","181229","502","356","206","616","589.52","117.43"
"南投縣埔里鎮","房里里","237","137905","582","375","182","700","759.84","130.58"
"南投縣埔里鎮","向善里","108","55115","510","312","144","589","853.71","167.29"
"南投縣埔里鎮","一新里","156","105464","676","323","146","632","1478.32","218.67"
"南投縣埔里鎮","廣成里","180","105084","584","406","205","699","613.91","105.16"
"南投縣埔里鎮","史港里","96","61116","637","367","165","777","722.43","113.48"
"南投縣埔里鎮","福興里","175","89374","511","328","144","666","596.88","116.87"
"南投縣埔里鎮","牛眠里","545","295926","543","328","165","628","711.98","131.12"
"南投縣埔里鎮","大湳里","465","323669","696","448","180","864","1064.68","152.96"
"南投縣埔里鎮","蜈蚣里","479","263142","549","366","184","703","650.98","118.50"
"南投縣埔里鎮","成功里","34","14694","432","364","157","517","491.31","113.68"
"南投縣埔里鎮","合成里","223","115093","516","317","132","624","695.94","134.84"
"南投縣埔里鎮","北安里","885","549375","621","426","205","779","692.12","111.49"
"南投縣埔里鎮","泰安里","522","284364","545","398","190","710","552.43","101.41"
"南投縣埔里鎮","北梅里","852","537088","630","427","195","810","731.04","115.97"
"南投縣埔里鎮","其他","3","1653","551","303","179","799","655.99","119.05"
"南投縣埔里鎮","合計","15453","9277949","600","400","187","750","737.20","122.78"
"南投縣草屯鎮","玉峰里","639","432665","677","472","223","837","781.84","115.47"
"南投縣草屯鎮","炎峰里","678","477505","704","493","224","918","732.64","104.03"
"南投縣草屯鎮","和平里","379","262011","691","412","215","895","729.95","105.59"
"南投縣草屯鎮","敦和里","2010","1385600","689","452","222","790","850.32","123.35"
"南投縣草屯鎮","山腳里","2618","1979405","756","484","227","931","1032.04","136.50"
"南投縣草屯鎮","富寮里","2142","1487347","694","475","235","925","727.75","104.81"
"南投縣草屯鎮","御史里","1796","1164223","648","426","216","797","801.89","123.70"
"南投縣草屯鎮","新豐里","1153","741099","643","438","221","815","747.51","116.30"
"南投縣草屯鎮","明正里","1083","732663","677","456","218","818","861.19","127.30"
"南投縣草屯鎮","中正里","196","159725","815","388","199","922","1637.53","200.94"
"南投縣草屯鎮","碧峰里","1426","917477","643","439","224","802","697.72","108.44"
"南投縣草屯鎮","上林里","1022","755282","739","458","224","859","1242.31","168.10"
"南投縣草屯鎮","新庄里","1116","752145","674","463","222","853","745.97","110.68"
"南投縣草屯鎮","北投里","862","518149","601","423","210","723","695.96","115.78"
"南投縣草屯鎮","石川里","454","278261","613","416","225","758","672.60","109.74"
"南投縣草屯鎮","加老里","638","380335","596","409","206","764","680.11","114.09"
"南投縣草屯鎮","中原里","557","341054","612","459","229","819","659.50","107.71"
"南投縣草屯鎮","北勢里","441","259377","588","437","225","710","602.95","102.52"
"南投縣草屯鎮","南埔里","1156","735133","636","443","223","791","816.91","128.46"
"南投縣草屯鎮","土城里","380","187745","494","339","165","644","518.14","104.87"
"南投縣草屯鎮","坪頂里","213","130248","611","374","200","624","857.39","140.21"
"南投縣草屯鎮","雙冬里","435","241407","555","378","198","697","622.80","112.22"
"南投縣草屯鎮","復興里","790","472101","598","421","218","737","690.53","115.55"
"南投縣草屯鎮","平林里","231","137053","593","381","202","684","844.15","142.28"
"南投縣草屯鎮","碧洲里","803","489217","609","417","216","784","592.78","97.30"
"南投縣草屯鎮","中山里","743","621121","836","531","230","1098","949.66","113.60"
"南投縣草屯鎮","新厝里","1072","848103","791","504","256","1016","921.84","116.52"
"南投縣草屯鎮","其他","0","0","0","0","0","0","0.00","0.00"
"南投縣草屯鎮","合計","25033","16886452","675","449","220","835","833.02","123.49"
"南投縣竹山鎮","竹山里","563","379126","673","440","201","782","1118.12","166.04"
"南投縣竹山鎮","中正里","161","89893","558","364","157","702","696.04","124.66"
"南投縣竹山鎮","中山里","1121","717210","640","440","206","762","749.66","117.17"
"南投縣竹山鎮","雲林里","955","638685","669","485","228","856","720.02","107.66"
"南投縣竹山鎮","硘󼍕里","435","238171","548","408","201","692","572.47","104.56"
"南投縣竹山鎮","桂林里","860","512644","596","408","209","758","676.84","113.55"
"南投縣竹山鎮","下坪里","294","186355","634","464","224","871","595.54","93.95"
"南投縣竹山鎮","中和里","195","112932","579","437","225","708","644.78","111.34"
"南投縣竹山鎮","中崎里","339","192465","568","409","229","705","814.69","143.50"
"南投縣竹山鎮","德興里","159","86820","546","402","187","743","592.88","108.58"
"南投縣竹山鎮","延和里","1314","831083","632","450","218","790","673.40","106.47"
"南投縣竹山鎮","延正里","321","194126","605","381","167","720","852.61","140.98"
"南投縣竹山鎮","延平里","627","343026","547","388","183","661","615.52","112.51"
"南投縣竹山鎮","延山里","148","94824","641","425","205","872","987.24","154.09"
"南投縣竹山鎮","山崇里","388","248448","640","435","207","771","868.52","135.64"
"南投縣竹山鎮","社寮里","320","187428","586","452","224","774","535.84","91.49"
"南投縣竹山鎮","中央里","224","138348","618","416","212","726","890.51","144.18"
"南投縣竹山鎮","富州里","126","76279","605","444","243","758","621.37","102.64"
"南投縣竹山鎮","大鞍里","47","18032","384","352","74","556","362.27","94.43"
"南投縣竹山鎮","田子里","80","40126","502","355","180","641","490.81","97.85"
"南投縣竹山鎮","福興里","76","40099","528","339","193","573","619.57","117.43"
"南投縣竹山鎮","鯉魚里","133","67090","504","351","162","528","611.34","121.19"
"南投縣竹山鎮","坪頂里","66","40813","618","463","251","863","565.18","91.40"
"南投縣竹山鎮","瑞竹里","92","43805","476","341","212","614","390.19","81.95"
"南投縣竹山鎮","桶頭里","109","53168","488","326","170","515","958.57","196.52"
"南投縣竹山鎮","秀林里","110","59793","544","456","168","695","508.11","93.48"
"南投縣竹山鎮","延祥里","904","489124","541","386","188","683","614.69","113.61"
