"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"彰化縣彰化市","中正里","491","408279","832","420","184","1034","1389.80","167.14"
"彰化縣彰化市","文化里","388","268833","693","421","205","776","862.58","124.49"
"彰化縣彰化市","新興里","1838","1533638","834","539","246","1058","977.32","117.13"
"彰化縣彰化市","下廍里","1823","1673155","918","567","262","1161","1219.76","132.90"
"彰化縣彰化市","民生里","461","427245","927","557","213","1136","1142.55","123.28"
"彰化縣彰化市","興北里","552","424713","769","519","247","986","862.50","112.10"
"彰化縣彰化市","信義里","263","247504","941","502","250","1071","1284.06","136.45"
"彰化縣彰化市","陽明里","591","487091","824","516","239","992","1019.48","123.70"
"彰化縣彰化市","萬安里","1310","1033514","789","484","236","996","954.66","121.00"
"彰化縣彰化市","新華里","502","397119","791","496","255","988","936.03","118.32"
"彰化縣彰化市","光華里","257","234716","913","509","219","1042","1211.36","132.64"
"彰化縣彰化市","光復里","239","246319","1031","526","214","1143","1504.74","146.00"
"彰化縣彰化市","龍山里","652","557960","856","525","216","1042","1206.30","140.96"
"彰化縣彰化市","中山里","256","207373","810","461","241","1148","875.72","108.11"
"彰化縣彰化市","永福里","294","256804","873","511","227","1120","1041.48","119.23"
"彰化縣彰化市","永生里","390","280526","719","430","215","822","969.64","134.80"
"彰化縣彰化市","桃源里","681","469826","690","386","181","742","1082.35","156.88"
"彰化縣彰化市","大同里","331","248820","752","481","197","936","902.46","120.05"
"彰化縣彰化市","東興里","556","457572","823","470","194","972","1111.82","135.10"
"彰化縣彰化市","卦山里","849","707096","833","475","216","984","1543.09","185.28"
"彰化縣彰化市","彰安里","965","803984","833","449","214","931","1592.91","191.19"
"彰化縣彰化市","福安里","352","268387","762","416","203","948","919.56","120.60"
"彰化縣彰化市","西安里","943","748873","794","504","224","942","1000.69","126.01"
"彰化縣彰化市","成功里","544","476116","875","539","229","1026","1095.20","125.13"
"彰化縣彰化市","南瑶里","2758","2263055","821","530","240","1009","1060.10","129.19"
"彰化縣彰化市","華陽里","537","404058","752","463","214","834","1174.56","156.10"
"彰化縣彰化市","延和里","1803","1578675","876","512","244","1035","1458.68","166.59"
"彰化縣彰化市","延平里","3364","2967323","882","541","254","1061","1233.84","139.88"
"彰化縣彰化市","華北里","482","328404","681","473","224","899","707.41","103.83"
"彰化縣彰化市","南興里","2865","2203270","769","490","231","991","888.33","115.51"
"彰化縣彰化市","富貴里","269","203486","756","503","208","959","905.63","119.72"
"彰化縣彰化市","介壽里","743","571109","769","510","241","1019","880.39","114.54"
"彰化縣彰化市","光南里","506","447307","884","505","250","996","1156.66","130.84"
"彰化縣彰化市","民權里","313","231905","741","432","188","821","1024.89","138.33"
"彰化縣彰化市","萬壽里","252","220565","875","401","210","898","2474.64","282.73"
"彰化縣彰化市","中央里","267","177990","667","404","174","861","763.25","114.49"
"彰化縣彰化市","忠孝里","411","417475","1016","555","243","1093","1341.07","132.03"
"彰化縣彰化市","五權里","1427","981912","688","428","219","863","856.01","124.40"
"彰化縣彰化市","西興里","1175","971275","827","520","232","1022","989.48","119.70"
"彰化縣彰化市","忠權里","1128","899538","797","490","234","988","1043.77","130.89"
"彰化縣彰化市","長樂里","319","274039","859","531","212","1034","1264.05","147.14"
"彰化縣彰化市","西勢里","1342","1110601","828","511","235","1084","993.93","120.10"
"彰化縣彰化市","莿桐里","1086","752995","693","447","223","813","932.49","134.49"
"彰化縣彰化市","南安里","699","392949","562","370","171","710","687.94","122.37"
"彰化縣彰化市","東芳里","1123","756445","674","453","215","825","910.76","135.21"
"彰化縣彰化市","南美里","648","429645","663","421","194","791","829.07","125.04"
"彰化縣彰化市","平和里","1536","1111585","724","444","219","922","836.23","115.55"
"彰化縣彰化市","磚磘里","1094","721722","660","416","201","808","798.05","120.97"
"彰化縣彰化市","阿夷里","3010","2441472","811","528","251","1050","918.46","113.23"
"彰化縣彰化市","古夷里","737","466467","633","433","183","783","859.41","135.78"
"彰化縣彰化市","寶廍里","365","244865","671","372","162","879","982.50","146.45"
"彰化縣彰化市","茄苳里","304","206531","679","390","188","786","863.58","127.11"
"彰化縣彰化市","茄南里","978","732760","749","481","248","887","939.02","125.33"
"彰化縣彰化市","和調里","908","715137","788","474","228","963","982.76","124.78"
"彰化縣彰化市","大竹里","1091","732630","672","448","202","849","810.70","120.73"
"彰化縣彰化市","竹中里","513","345665","674","448","233","899","680.98","101.06"
"彰化縣彰化市","安溪里","592","394345","666","488","247","869","681.76","102.35"
"彰化縣彰化市","香山里","1152","818872","711","445","218","862","817.63","115.03"
"彰化縣彰化市","牛埔里","954","603623","633","400","204","719","780.80","123.40"
"彰化縣彰化市","三村里","337","204826","608","388","178","764","690.99","113.69"
"彰化縣彰化市","國聖里","805","514472","639","411","186","760","769.53","120.41"
"彰化縣彰化市","福山里","2094","1349957","645","436","218","799","782.25","121.34"
"彰化縣彰化市","中庄里","759","527951","696","443","208","868","856.76","123.17"
"彰化縣彰化市","快官里","345","263497","764","444","197","892","1060.41","138.84"
"彰化縣彰化市","竹巷里","258","139107","539","379","206","688","518.21","96.11"
"彰化縣彰化市","福田里","362","205932","569","378","181","702","701.91","123.39"
"彰化縣彰化市","石牌里","281","171892","612","401","210","776","653.52","106.83"
"彰化縣彰化市","田中里","269","178687","664","405","213","796","802.89","120.87"
"彰化縣彰化市","建寶里","743","582608","784","514","221","1005","965.56","123.14"
"彰化縣彰化市","復興里","1450","994037","686","448","201","859","814.37","118.79"
"彰化縣彰化市","台鳳里","1377","809637","588","369","194","730","996.76","169.53"
"彰化縣彰化市","向陽里","2045","1930038","944","565","254","1132","1925.49","204.02"
"彰化縣彰化市","崙平里","1803","1365793","758","486","229","982","958.58","126.54"
"彰化縣彰化市","其他","2","1612","806","806","456","1156","990.67","122.92"
"彰化縣彰化市","合計","65209","50225203","770","476","223","946","1062.93","138.00"
"彰化縣鹿港鎮","詔安里","653","376762","577","369","177","693","764.72","132.54"
"彰化縣鹿港鎮","洋厝里","687","406542","592","409","211","703","648.61","109.61"
"彰化縣鹿港鎮","海埔里","1039","633193","609","411","205","768","715.88","117.47"
"彰化縣鹿港鎮","山崙里","772","454851","589","358","197","668","714.09","121.20"
"彰化縣鹿港鎮","頭南里","644","409791","636","397","198","727","1174.24","184.54"
"彰化縣鹿港鎮","草中里","942","595504","632","415","184","740","717.25","113.46"
"彰化縣鹿港鎮","廖厝里","1373","862856","628","394","195","745","798.67","127.09"
"彰化縣鹿港鎮","溝墘里","1333","908334","681","412","201","794","951.79","139.68"
"彰化縣鹿港鎮","頭崙里","830","542697","654","396","193","703","880.92","134.73"
"彰化縣鹿港鎮","東石里","1322","881328","667","427","207","790","953.45","143.02"
"彰化縣鹿港鎮","頂番里","1276","924718","725","424","199","843","1099.97","151.78"
"彰化縣鹿港鎮","郭厝里","119","77113","648","461","202","817","744.84","114.94"
"彰化縣鹿港鎮","玉順里","310","196627","634","372","203","758","789.43","124.46"
"彰化縣鹿港鎮","新宮里","221","124366","563","397","157","713","606.58","107.79"
"彰化縣鹿港鎮","順興里","262","172061","657","381","196","782","850.90","129.57"
"彰化縣鹿港鎮","中興里","186","135872","730","430","194","782","1267.52","173.52"
"彰化縣鹿港鎮","景福里","347","271320","782","447","224","931","1004.30","128.44"
"彰化縣鹿港鎮","興化里","150","103128","688","393","212","858","869.85","126.52"
"彰化縣鹿港鎮","洛津里","210","151443","721","439","193","963","808.12","112.06"
"彰化縣鹿港鎮","街尾里","680","513949","756","460","221","899","982.29","129.97"
"彰化縣鹿港鎮","泰興里","398","373512","938","483","252","1079","1314.77","140.10"
"彰化縣鹿港鎮","埔崙里","1691","1166482","690","440","216","834","827.86","120.01"
"彰化縣鹿港鎮","菜園里","283","169324","598","433","193","762","690.16","115.35"
"彰化縣鹿港鎮","長興里","96","75520","787","539","289","883","846.93","107.66"
"彰化縣鹿港鎮","東崎里","1609","1069962","665","416","207","800","908.03","136.55"
"彰化縣鹿港鎮","龍山里","196","131760","672","364","136","721","948.85","141.15"
"彰化縣鹿港鎮","頂厝里","1051","844038","803","462","232","915","1176.01","146.44"
"彰化縣鹿港鎮","大有里","317","227853","719","446","200","933","881.50","122.64"
"彰化縣鹿港鎮","永安里","1499","1087888","726","453","221","862","907.31","125.02"
"彰化縣鹿港鎮","鹿和里","746","528931","709","467","237","839","1002.74","141.43"
"彰化縣鹿港鎮","鹿東里","891","633382","711","449","219","873","941.67","132.47"
"彰化縣鹿港鎮","其他","0","0","0","0","0","0","0.00","0.00"
"彰化縣鹿港鎮","合計","22133","15051107","680","422","206","799","917.43","134.91"
"彰化縣和美鎮","竹營里","2119","1502095","709","470","223","872","850.89","120.03"
"彰化縣和美鎮","和東里","1544","1267378","821","490","247","961","1250.24","152.31"
"彰化縣和美鎮","和南里","123","86519","703","420","158","780","992.87","141.15"
"彰化縣和美鎮","和北里","664","473357","713","437","203","908","887.14","124.44"
"彰化縣和美鎮","和西里","1063","818531","770","475","230","926","908.05","117.93"
"彰化縣和美鎮","四張里","943","609499","646","410","209","801","754.95","116.80"
"彰化縣和美鎮","頭前里","572","350504","613","422","199","710","713.09","116.37"
"彰化縣和美鎮","還社里","252","133510","530","399","160","677","558.86","105.48"
"彰化縣和美鎮","鎮平里","900","534632","594","390","188","781","648.10","109.10"
"彰化縣和美鎮","大霞里","437","273635","626","402","191","740","876.02","139.90"
"彰化縣和美鎮","源埤里","599","358160","598","380","181","715","768.64","128.55"
"彰化縣和美鎮","南佃里","697","406203","583","379","189","646","774.14","132.83"
"彰化縣和美鎮","雅溝里","402","265547","661","401","204","711","850.43","128.74"
"彰化縣和美鎮","面前里","750","462796","617","396","205","782","709.30","114.95"
"彰化縣和美鎮","山犁里","1872","1434663","766","472","231","962","988.54","128.99"
"彰化縣和美鎮","嘉犁里","644","442230","687","407","183","801","898.14","130.79"
"彰化縣和美鎮","鐵山里","939","687055","732","430","224","821","1106.05","151.16"
"彰化縣和美鎮","詔安里","693","452109","652","443","229","810","809.18","124.03"
"彰化縣和美鎮","柑井里","1167","787445","675","437","208","820","842.19","124.81"
"彰化縣和美鎮","竹園里","301","202974","674","424","203","793","841.50","124.79"
"彰化縣和美鎮","新庄里","785","507511","647","403","190","817","756.20","116.97"
"彰化縣和美鎮","犁盛里","747","520436","697","413","197","800","958.35","137.55"
"彰化縣和美鎮","中寮里","307","204892","667","438","209","768","768.75","115.19"
"彰化縣和美鎮","中圍里","889","500220","563","403","207","736","558.27","99.22"
"彰化縣和美鎮","糖友里","1624","1087695","670","439","218","839","776.82","115.98"
"彰化縣和美鎮","塗厝里","572","343975","601","397","182","761","689.96","114.73"
"彰化縣和美鎮","地潭里","230","133639","581","384","226","760","586.61","100.96"
"彰化縣和美鎮","湖內里","374","206401","552","364","202","660","670.43","121.48"
"彰化縣和美鎮","嘉寶里","611","299983","491","325","161","590","588.94","119.95"
"彰化縣和美鎮","月眉里","940","506451","539","374","178","703","577.24","107.14"
"彰化縣和美鎮","好修里","485","288672","595","423","213","702","692.55","116.36"
"彰化縣和美鎮","仁愛里","938","641103","683","433","222","809","828.94","121.28"
"彰化縣和美鎮","其他","0","0","0","0","0","0","0.00","0.00"
"彰化縣和美鎮","合計","25183","16789820","667","425","207","805","848.96","127.34"
"彰化縣北斗鎮","光復里","547","371409","679","478","208","883","745.92","109.86"
"彰化縣北斗鎮","新政里","250","208251","833","524","264","942","1112.76","133.58"
"彰化縣北斗鎮","重慶里","142","93448","658","411","194","774","737.07","112.00"
"彰化縣北斗鎮","五權里","180","130110","723","516","213","803","868.82","120.20"
"彰化縣北斗鎮","七星里","360","221920","616","411","225","825","612.41","99.35"
"彰化縣北斗鎮","居仁里","357","265640","744","474","215","940","887.34","119.25"
"彰化縣北斗鎮","東光里","644","418051","649","431","216","824","720.53","111.00"
"彰化縣北斗鎮","中和里","335","191702","572","391","176","682","789.67","137.99"
"彰化縣北斗鎮","文昌里","954","590025","618","433","211","778","643.01","103.97"
"彰化縣北斗鎮","西德里","1335","918819","688","418","202","796","2034.37","295.59"
"彰化縣北斗鎮","西安里","543","436950","805","531","270","1030","877.78","109.08"
"彰化縣北斗鎮","中寮里","665","427732","643","453","197","860","639.22","99.38"
"彰化縣北斗鎮","大道里","525","379184","722","465","211","965","782.79","108.38"
"彰化縣北斗鎮","新生里","492","271563","552","367","179","678","647.20","117.26"
"彰化縣北斗鎮","大新里","504","304726","605","412","210","722","796.28","131.70"
"彰化縣北斗鎮","其他","0","0","0","0","0","0","0.00","0.00"
"彰化縣北斗鎮","合計","7833","5229530","668","438","211","828","1087.81","162.94"
"彰化縣員林市","東和里","296","224124","757","492","219","991","786.37","103.86"
"彰化縣員林市","民生里","797","521842","655","443","200","846","737.08","112.57"
"彰化縣員林市","中正里","1013","798030","788","480","236","978","1011.96","128.46"
"彰化縣員林市","新興里","220","193758","881","587","219","1068","993.27","112.78"
"彰化縣員林市","仁美里","808","706320","874","545","277","1056","1061.47","121.43"
"彰化縣員林市","和平里","960","686340","715","443","224","881","997.77","139.56"
"彰化縣員林市","光明里","239","171305","717","445","222","801","909.35","126.87"
"彰化縣員林市","中山里","188","155403","827","505","274","1090","946.59","114.51"
"彰化縣員林市","黎明里","518","369900","714","454","218","881","921.49","129.04"
"彰化縣員林市","惠來里","1965","1517899","772","484","224","937","1089.15","141.00"
"彰化縣員林市","三義里","871","581434","668","425","208","817","838.64","125.63"
"彰化縣員林市","南平里","2069","1732287","837","540","252","1039","1051.81","125.63"
"彰化縣員林市","大埔里","568","332260","585","440","186","734","582.45","99.57"
"彰化縣員林市","源潭里","500","332966","666","462","249","862","702.00","105.42"
"彰化縣員林市","三條里","971","880576","907","533","258","1168","1088.66","120.05"
"彰化縣員林市","三橋里","979","744008","760","494","253","963","892.23","117.40"
"彰化縣員林市","溝皂里","936","682796","729","507","243","952","889.55","121.94"
"彰化縣員林市","中央里","630","445004","706","446","225","908","903.51","127.91"
"彰化縣員林市","大饒里","1076","769736","715","463","232","876","849.01","118.68"
"彰化縣員林市","大明里","675","395238","586","382","184","724","781.35","133.44"
"彰化縣員林市","萬年里","1267","942990","744","481","227","951","824.05","110.72"
"彰化縣員林市","崙雅里","680","445023","654","429","207","797","903.58","138.07"
"彰化縣員林市","振興里","771","441036","572","412","221","748","585.93","102.43"
"彰化縣員林市","林厝里","761","433667","570","422","203","721","590.62","103.64"
"彰化縣員林市","出水里","475","285635","601","394","194","668","921.34","153.21"
"彰化縣員林市","湖水里","295","174780","592","383","175","761","730.07","123.22"
"彰化縣員林市","大峯里","164","91861","560","361","211","751","570.05","101.77"
"彰化縣員林市","鎮興里","510","281600","552","412","205","708","537.38","97.32"
"彰化縣員林市","浮圳里","637","406990","639","420","214","789","717.12","112.24"
"彰化縣員林市","西東里","536","322179","601","419","215","749","674.80","112.27"
