"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新竹市東區","榮光里","119","141235","1187","699","292","1434","1548.51","130.47"
"新竹市東區","成功里","223","230400","1033","535","280","1233","1335.90","129.30"
"新竹市東區","育賢里","446","1123661","2519","1018","373","3061","4807.50","190.82"
"新竹市東區","親仁里","745","1718844","2307","972","364","2564","3660.35","158.65"
"新竹市東區","中正里","220","239952","1091","561","216","1306","1377.27","126.27"
"新竹市東區","東門里","213","224571","1054","503","262","1148","1441.16","136.69"
"新竹市東區","三民里","1932","2550557","1320","664","276","1424","2244.87","170.04"
"新竹市東區","文華里","1784","2219458","1244","637","270","1557","1735.39","139.49"
"新竹市東區","公園里","1227","2250218","1834","805","326","1991","3673.61","200.31"
"新竹市東區","東園里","2524","5364382","2125","1352","522","2900","2419.79","113.85"
"新竹市東區","復中里","1673","2448804","1464","664","299","1579","2838.09","193.90"
"新竹市東區","東勢里","1780","4578251","2572","1834","678","3367","3459.71","134.51"
"新竹市東區","綠水里","2506","5279074","2107","1102","391","2581","3809.21","180.83"
"新竹市東區","東山里","1209","1742547","1441","742","318","1737","2361.36","163.83"
"新竹市東區","水源里","1137","1099782","967","521","250","1087","1384.34","143.12"
"新竹市東區","前溪里","968","887847","917","497","256","1014","1304.07","142.18"
"新竹市東區","光復里","1182","2086223","1765","866","377","2248","2390.00","135.41"
"新竹市東區","千甲里","698","718473","1029","594","303","1205","1365.08","132.62"
"新竹市東區","仙宮里","523","916525","1752","887","350","2354","2382.86","135.97"
"新竹市東區","光明里","1227","2881595","2348","1192","427","2873","3637.93","154.91"
"新竹市東區","建功里","1529","2741988","1793","938","364","2585","2114.64","117.92"
"新竹市東區","金山里","2185","4174953","1911","978","397","2501","2695.33","141.06"
"新竹市東區","埔頂里","3484","9878310","2835","2140","812","3885","2795.99","98.61"
"新竹市東區","仙水里","1840","3700333","2011","1103","436","2716","2535.87","126.10"
"新竹市東區","龍山里","4633","15207850","3283","2496","971","4539","3373.25","102.76"
"新竹市東區","新莊里","2208","4158818","1884","1022","381","2450","2484.99","131.93"
"新竹市東區","南門里","242","251759","1040","605","237","1129","1656.24","159.20"
"新竹市東區","關帝里","137","128501","938","529","289","944","1323.82","141.14"
"新竹市東區","寺前里","230","195699","851","515","269","961","955.92","112.35"
"新竹市東區","福德里","556","606092","1090","573","270","1199","1524.46","139.85"
"新竹市東區","新興里","1164","1224272","1052","567","260","1162","1422.11","135.21"
"新竹市東區","南市里","269","219759","817","477","215","1011","1187.05","145.30"
"新竹市東區","振興里","2037","2170916","1066","582","266","1217","1473.11","138.22"
"新竹市東區","竹蓮里","247","232095","940","595","302","1003","1308.10","139.21"
"新竹市東區","南大里","430","412550","959","524","242","1146","1232.02","128.41"
"新竹市東區","頂竹里","993","1082681","1090","595","268","1207","1810.06","166.01"
"新竹市東區","下竹里","152","127700","840","505","214","1089","943.31","112.28"
"新竹市東區","高峰里","2118","3100741","1464","639","279","1606","3137.61","214.32"
"新竹市東區","柴橋里","2179","4419469","2028","811","335","2013","4512.96","222.51"
"新竹市東區","光鎮里","1330","1384793","1041","567","247","1251","1646.39","158.12"
"新竹市東區","豐功里","1773","4863056","2743","1411","460","3611","3854.34","140.52"
"新竹市東區","軍功里","974","1471121","1510","756","331","1889","2653.26","175.67"
"新竹市東區","武功里","1508","2341837","1553","799","343","2030","1967.99","126.73"
"新竹市東區","立功里","243","187914","773","485","221","888","1039.34","134.40"
"新竹市東區","關東里","1940","4079742","2103","835","355","2337","3779.46","179.72"
