"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"雲林縣斗六市","忠孝里","445","352234","792","544","242","1002","878.26","110.96"
"雲林縣斗六市","仁愛里","315","264342","839","427","180","880","1414.27","168.53"
"雲林縣斗六市","信義里","204","194877","955","508","232","1057","1470.18","153.90"
"雲林縣斗六市","四維里","180","117533","653","381","170","794","849.63","130.12"
"雲林縣斗六市","太平里","251","222228","885","571","287","1169","1036.34","117.05"
"雲林縣斗六市","中和里","253","196270","776","508","222","973","896.96","115.62"
"雲林縣斗六市","光興里","212","148950","703","417","213","783","986.20","140.37"
"雲林縣斗六市","三平里","1750","1567599","896","574","270","1161","1090.55","121.74"
"雲林縣斗六市","八德里","958","621009","648","427","222","837","661.48","102.04"
"雲林縣斗六市","鎮北里","878","596611","680","469","249","877","702.28","103.35"
"雲林縣斗六市","龍潭里","618","743974","1204","702","303","1528","1497.42","124.39"
"雲林縣斗六市","鎮南里","1148","861608","751","488","239","970","843.58","112.40"
"雲林縣斗六市","林頭里","1272","823113","647","446","235","848","664.32","102.66"
"雲林縣斗六市","重光里","692","389875","563","378","198","657","797.73","141.59"
"雲林縣斗六市","溝埧里","221","183190","829","512","293","1025","988.38","119.24"
"雲林縣斗六市","江厝里","620","366580","591","405","213","696","705.50","119.32"
"雲林縣斗六市","三光里","122","80326","658","403","179","877","754.98","114.67"
"雲林縣斗六市","崙峯里","823","636649","774","507","256","1004","853.04","110.27"
"雲林縣斗六市","嘉東里","483","395229","818","533","270","1099","879.70","107.51"
"雲林縣斗六市","久安里","732","496767","679","478","234","830","815.81","120.21"
"雲林縣斗六市","長平里","596","387572","650","462","269","803","752.68","115.74"
"雲林縣斗六市","保庄里","1979","1561874","789","550","260","1045","818.57","103.72"
"雲林縣斗六市","虎溪里","1035","700897","677","436","220","778","1177.77","173.92"
"雲林縣斗六市","梅林里","474","304813","643","424","221","755","801.89","124.70"
"雲林縣斗六市","湖山里","255","139835","548","395","193","704","574.86","104.83"
"雲林縣斗六市","榴中里","1397","779505","558","410","227","710","585.16","104.87"
"雲林縣斗六市","榴北里","288","135214","469","378","196","625","393.93","83.91"
"雲林縣斗六市","榴南里","727","420355","578","421","236","699","705.76","122.06"
"雲林縣斗六市","長安里","1012","654410","647","455","235","781","781.62","120.87"
"雲林縣斗六市","溪洲里","954","593916","623","441","252","754","656.26","105.41"
"雲林縣斗六市","十三里","298","181621","609","435","232","762","658.78","108.09"
"雲林縣斗六市","鎮東里","848","668637","788","555","293","1017","839.13","106.42"
"雲林縣斗六市","鎮西里","1191","984821","827","506","261","1027","1072.26","129.67"
"雲林縣斗六市","社口里","732","519212","709","461","216","866","918.05","129.43"
"雲林縣斗六市","公正里","1033","738411","715","469","247","886","889.71","124.47"
"雲林縣斗六市","成功里","876","717518","819","567","255","1005","907.26","110.77"
"雲林縣斗六市","明德里","1301","1091863","839","567","280","1071","956.70","113.99"
"雲林縣斗六市","公誠里","713","493041","692","444","216","894","792.79","114.65"
"雲林縣斗六市","文化里","811","654338","807","510","255","1028","1063.29","131.79"
"雲林縣斗六市","正心里","699","686311","982","547","278","1124","1753.28","178.57"
"雲林縣斗六市","其他","1","331","331","331","331","331","0.00","0.00"
"雲林縣斗六市","合計","29397","21673456","737","480","243","911","926.25","125.63"
"雲林縣斗南鎮","南昌里","596","446471","749","472","233","898","919.77","122.78"
"雲林縣斗南鎮","新光里","818","545936","667","462","234","850","686.92","102.92"
"雲林縣斗南鎮","小東里","367","251630","686","468","224","828","742.32","108.27"
"雲林縣斗南鎮","大東里","208","103430","497","373","198","660","444.67","89.42"
"雲林縣斗南鎮","埤麻里","206","120126","583","411","199","703","837.64","143.64"
"雲林縣斗南鎮","西伯里","210","113502","540","413","207","697","473.45","87.60"
"雲林縣斗南鎮","新崙里","331","183055","553","392","203","679","551.65","99.75"
"雲林縣斗南鎮","東仁里","355","260135","733","500","254","948","760.36","103.76"
"雲林縣斗南鎮","西岐里","690","527406","764","499","235","958","887.10","116.06"
"雲林縣斗南鎮","舊社里","818","563334","689","481","229","926","785.68","114.09"
"雲林縣斗南鎮","田頭里","609","399086","655","456","230","784","802.47","122.46"
"雲林縣斗南鎮","中天里","392","295390","754","484","232","918","825.35","109.53"
"雲林縣斗南鎮","北銘里","442","294038","665","446","214","878","738.78","111.05"
"雲林縣斗南鎮","明昌里","1054","739492","702","480","242","941","785.13","111.90"
"雲林縣斗南鎮","東明里","241","185978","772","386","209","658","3140.71","406.99"
"雲林縣斗南鎮","新南里","130","59855","460","340","179","592","452.74","98.33"
"雲林縣斗南鎮","阿丹里","225","123187","547","398","181","678","583.42","106.56"
"雲林縣斗南鎮","將軍里","425","282865","666","422","237","796","772.92","116.13"
"雲林縣斗南鎮","林子里","344","200934","584","389","188","707","635.14","108.74"
"雲林縣斗南鎮","石龜里","172","90203","524","437","225","701","457.41","87.22"
"雲林縣斗南鎮","石溪里","197","120394","611","428","221","726","651.96","106.68"
"雲林縣斗南鎮","靖興里","225","165320","735","497","256","902","788.20","107.27"
"雲林縣斗南鎮","大同里","1000","753752","754","507","247","961","859.81","114.07"
"雲林縣斗南鎮","僑真里","700","469733","671","491","229","870","704.49","104.98"
"雲林縣斗南鎮","其他","4","1706","427","451","368","509","227.16","53.25"
"雲林縣斗南鎮","合計","10759","7296957","678","457","228","850","888.06","130.94"
"雲林縣虎尾鎮","東仁里","817","684411","838","572","256","1101","865.84","103.36"
