"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"嘉義縣朴子市","安福里","540","378871","702","523","261","931","651.97","92.92"
"嘉義縣朴子市","平和里","734","563411","768","521","244","983","956.01","124.55"
"嘉義縣朴子市","內厝里","280","203163","726","476","234","938","858.48","118.32"
"嘉義縣朴子市","開元里","98","60888","621","534","205","788","567.78","91.38"
"嘉義縣朴子市","順天里","164","103530","631","436","203","804","825.99","130.84"
"嘉義縣朴子市","中正里","157","121408","773","458","231","913","1022.02","132.16"
"嘉義縣朴子市","博厚里","242","192900","797","578","268","1053","856.30","107.43"
"嘉義縣朴子市","文化里","520","363309","699","475","260","886","771.22","110.38"
"嘉義縣朴子市","永和里","660","416833","632","446","213","810","648.37","102.66"
"嘉義縣朴子市","竹圍里","1359","989977","728","531","246","933","808.65","111.01"
"嘉義縣朴子市","新寮里","135","80214","594","350","196","641","798.19","134.33"
"嘉義縣朴子市","双溪里","113","73333","649","437","239","738","732.84","112.92"
"嘉義縣朴子市","溪口里","134","73072","545","416","186","755","466.35","85.52"
"嘉義縣朴子市","德興里","216","145025","671","479","259","838","637.36","94.93"
"嘉義縣朴子市","仁和里","833","1079452","1296","882","504","1408","1528.55","117.96"
"嘉義縣朴子市","大鄉里","873","606855","695","472","234","858","837.57","120.49"
"嘉義縣朴子市","大葛里","867","711253","820","569","257","1082","850.28","103.65"
"嘉義縣朴子市","佳禾里","145","79384","547","428","213","626","603.26","110.19"
"嘉義縣朴子市","竹村里","268","162099","605","417","233","686","754.00","124.66"
"嘉義縣朴子市","崁前里","136","82336","605","399","211","693","744.48","122.97"
"嘉義縣朴子市","崁後里","124","72673","586","424","207","761","826.64","141.05"
"嘉義縣朴子市","順安里","38","18731","493","448","192","676","400.70","81.29"
"嘉義縣朴子市","德家里","131","62153","474","323","168","580","517.96","109.17"
"嘉義縣朴子市","新庄里","142","81671","575","398","159","742","603.23","104.88"
"嘉義縣朴子市","松華里","209","137605","658","421","235","871","681.90","103.57"
"嘉義縣朴子市","梅華里","157","97785","623","389","185","726","866.05","139.05"
"嘉義縣朴子市","南竹里","67","34276","512","357","201","608","479.18","93.67"
"嘉義縣朴子市","其他","0","0","0","0","0","0","0.00","0.00"
"嘉義縣朴子市","合計","9342","6992209","748","508","244","942","896.94","119.84"
