"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"屏東縣屏東市","金泉里","311","199858","643","441","199","765","788.20","122.65"
"屏東縣屏東市","楠樹里","679","514867","758","482","211","911","963.90","127.12"
"屏東縣屏東市","橋南里","431","383824","891","596","254","1062","1203.29","135.12"
"屏東縣屏東市","橋北里","293","191773","655","448","205","837","720.93","110.15"
"屏東縣屏東市","長春里","556","403584","726","481","227","893","828.07","114.08"
"屏東縣屏東市","豐田里","1217","864146","710","470","232","889","797.96","112.38"
"屏東縣屏東市","歸心里","258","140292","544","345","177","647","693.84","127.60"
"屏東縣屏東市","湖西里","381","241442","634","463","247","792","611.08","96.43"
"屏東縣屏東市","瑞光里","2340","1771715","757","519","244","982","892.94","117.94"
"屏東縣屏東市","湖南里","298","175655","589","406","216","775","527.99","89.57"
"屏東縣屏東市","長安里","627","415002","662","520","259","784","768.84","116.16"
"屏東縣屏東市","厚生里","744","432261","581","440","234","742","556.59","95.80"
"屏東縣屏東市","大湖里","464","266064","573","421","218","668","600.56","104.73"
"屏東縣屏東市","頂宅里","112","63350","566","413","196","691","618.39","109.33"
"屏東縣屏東市","新生里","1620","1020765","630","441","231","772","732.54","116.26"
"屏東縣屏東市","永安里","1782","1144728","642","435","220","826","696.30","108.39"
"屏東縣屏東市","安鎮里","520","331810","638","455","222","810","701.15","109.88"
"屏東縣屏東市","一心里","590","420806","713","448","216","942","757.53","106.21"
"屏東縣屏東市","義勇里","573","533789","932","542","256","1094","1817.22","195.07"
"屏東縣屏東市","公館里","390","256923","659","464","239","777","759.64","115.31"
"屏東縣屏東市","龍華里","559","368634","659","448","234","781","1006.43","152.62"
"屏東縣屏東市","玉成里","397","257000","647","425","210","750","940.37","145.26"
"屏東縣屏東市","新興里","771","516915","670","571","324","856","576.65","86.01"
"屏東縣屏東市","頂柳里","250","142487","570","437","263","690","535.89","94.02"
"屏東縣屏東市","清溪里","1357","870958","642","473","241","796","672.15","104.72"
"屏東縣屏東市","前進里","747","451398","604","443","196","754","658.32","108.94"
"屏東縣屏東市","大洲里","277","193020","697","432","222","752","898.30","128.91"
"屏東縣屏東市","永光里","328","184944","564","372","176","646","688.81","122.16"
"屏東縣屏東市","大埔里","434","259136","597","400","189","772","585.38","98.04"
"屏東縣屏東市","大同里","593","488094","823","495","219","1022","993.82","120.74"
"屏東縣屏東市","光榮里","466","331385","711","485","233","873","876.60","123.27"
"屏東縣屏東市","維新里","619","378312","611","428","198","771","697.38","114.11"
"屏東縣屏東市","斯文里","611","512505","839","543","270","977","1039.39","123.91"
"屏東縣屏東市","仁義里","244","149031","611","447","214","780","607.71","99.50"
"屏東縣屏東市","三山里","338","179325","531","405","228","680","472.23","89.01"
"屏東縣屏東市","海豐里","198","126137","637","477","253","727","651.29","102.23"
"屏東縣屏東市","和興里","227","128904","568","437","189","725","583.73","102.80"
"屏東縣屏東市","崇蘭里","2862","2214635","774","559","285","994","807.40","104.34"
"屏東縣屏東市","空翔里","1104","717644","650","438","204","801","774.22","119.10"
"屏東縣屏東市","廣興里","827","485725","587","433","205","745","595.36","101.37"
"屏東縣屏東市","潭墘里","1462","809048","553","427","214","710","564.80","102.06"
"屏東縣屏東市","溝美里","658","435530","662","458","220","852","731.01","110.44"
"屏東縣屏東市","勝利里","1631","1196413","734","509","239","927","846.63","115.42"
"屏東縣屏東市","永城里","556","377088","678","435","215","808","988.62","145.77"
"屏東縣屏東市","北勢里","720","520826","723","500","237","926","761.90","105.33"
"屏東縣屏東市","華山里","1508","1078140","715","493","252","879","838.60","117.29"
"屏東縣屏東市","大武里","2461","1639907","666","470","229","825","763.45","114.57"
"屏東縣屏東市","建國里","404","260967","646","461","228","820","679.56","105.20"
"屏東縣屏東市","崇武里","1182","827976","700","508","246","941","710.53","101.43"
"屏東縣屏東市","豐榮里","815","640006","785","483","229","967","993.09","126.46"
"屏東縣屏東市","信和里","386","226713","587","398","210","734","658.69","112.15"
"屏東縣屏東市","豐源里","1176","858929","730","507","238","978","778.68","106.61"
"屏東縣屏東市","大連里","1536","1194220","777","529","244","967","904.82","116.38"
"屏東縣屏東市","仁愛里","641","480061","749","478","225","926","937.62","125.20"
"屏東縣屏東市","中正里","1480","1139185","770","522","249","1004","827.03","107.45"
"屏東縣屏東市","北興里","1975","1356770","687","471","224","874","730.86","106.39"
"屏東縣屏東市","崇陽里","2517","1813407","720","530","257","953","729.86","101.30"
"屏東縣屏東市","豐年里","1748","1448787","829","540","259","1045","932.61","112.52"
"屏東縣屏東市","公園里","651","556617","855","542","240","1049","1032.16","120.72"
"屏東縣屏東市","其他","2","971","485","485","298","673","530.75","109.36"
"屏東縣屏東市","合計","50904","35590404","699","481","234","875","812.80","116.25"
"屏東縣潮州鎮","潮州里","147","116856","795","554","267","881","1052.81","132.44"
"屏東縣潮州鎮","光華里","1265","845449","668","471","246","839","782.10","117.02"
"屏東縣潮州鎮","三星里","1678","1144015","682","483","235","876","724.86","106.32"
"屏東縣潮州鎮","彭城里","187","94206","504","356","188","657","460.71","91.45"
"屏東縣潮州鎮","九塊里","291","157912","543","375","231","626","611.05","112.60"
"屏東縣潮州鎮","興美里","194","113614","586","454","237","703","556.34","95.00"
"屏東縣潮州鎮","檨子里","50","21248","425","344","225","553","418.70","98.53"
"屏東縣潮州鎮","新生里","254","178423","702","472","220","911","783.96","111.60"
"屏東縣潮州鎮","新榮里","342","253843","742","450","202","925","1065.79","143.59"
"屏東縣潮州鎮","同榮里","153","97547","638","360","187","838","794.02","124.54"
"屏東縣潮州鎮","三共里","2011","1481113","737","496","240","951","857.57","116.44"
"屏東縣潮州鎮","五魁里","383","213573","558","394","213","741","574.87","103.09"
"屏東縣潮州鎮","蓬萊里","621","440538","709","501","257","876","1082.95","152.66"
"屏東縣潮州鎮","八爺里","655","399879","611","484","247","803","564.17","92.41"
"屏東縣潮州鎮","光春里","377","240197","637","463","271","719","688.34","108.04"
"屏東縣潮州鎮","泗林里","381","238455","626","434","225","804","687.02","109.77"
"屏東縣潮州鎮","四春里","354","205221","580","427","209","805","565.45","97.54"
"屏東縣潮州鎮","崙東里","251","132836","529","402","216","675","546.74","103.31"
"屏東縣潮州鎮","永春里","2116","1326819","627","452","220","811","635.54","101.36"
"屏東縣潮州鎮","三和里","578","409911","709","497","247","907","759.31","107.07"
"屏東縣潮州鎮","富春里","205","100651","491","363","167","690","509.90","103.85"
"屏東縣潮州鎮","其他","0","0","0","0","0","0","0.00","0.00"
"屏東縣潮州鎮","合計","12493","8212307","657","462","230","834","751.25","114.28"
"屏東縣東港鎮","東隆里","274","143306","523","383","178","618","622.54","119.03"
"屏東縣東港鎮","共和里","165","128933","781","516","270","909","990.50","126.76"
"屏東縣東港鎮","豐漁里","231","127449","552","428","233","693","565.36","102.47"
"屏東縣東港鎮","盛漁里","379","221740","585","396","206","679","709.09","121.20"
"屏東縣東港鎮","興漁里","314","173347","552","374","202","707","568.91","103.05"
"屏東縣東港鎮","鎮海里","402","223459","556","418","214","702","598.26","107.63"
"屏東縣東港鎮","嘉蓮里","257","134070","522","403","215","652","476.49","91.34"
"屏東縣東港鎮","南平里","231","130042","563","353","166","639","1158.02","205.71"
"屏東縣東港鎮","興農里","402","277662","691","461","240","860","902.30","130.64"
"屏東縣東港鎮","興和里","244","141119","578","434","249","749","540.90","93.52"
"屏東縣東港鎮","船頭里","569","345375","607","441","216","747","673.34","110.93"
"屏東縣東港鎮","下廍里","391","212837","544","372","193","674","634.47","116.56"
"屏東縣東港鎮","新勝里","552","368805","668","446","229","839","733.91","109.85"
"屏東縣東港鎮","頂中里","358","194056","542","416","189","681","631.09","116.42"
"屏東縣東港鎮","朝安里","325","216373","666","433","215","840","718.44","107.91"
"屏東縣東港鎮","大潭里","325","195371","601","413","209","709","778.83","129.56"
"屏東縣東港鎮","福德里","429","272488","635","442","218","765","826.11","130.06"
"屏東縣東港鎮","東津里","737","536566","728","526","250","941","862.49","118.47"
"屏東縣東港鎮","內關帝里","618","393136","636","467","232","784","725.93","114.11"
"屏東縣東港鎮","東新里","651","441570","678","495","256","846","684.40","100.90"
