"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"花蓮縣花蓮市","民意里","497","294266","592","385","194","750","741.02","125.15"
"花蓮縣花蓮市","民政里","1295","1012931","782","508","227","966","958.06","122.49"
"花蓮縣花蓮市","民運里","610","364492","598","429","220","724","719.68","120.44"
"花蓮縣花蓮市","民樂里","205","125751","613","424","216","792","578.78","94.35"
"花蓮縣花蓮市","民立里","516","497400","964","594","288","1148","1275.24","132.29"
"花蓮縣花蓮市","民勤里","1135","966415","851","567","277","1102","924.57","108.59"
"花蓮縣花蓮市","民德里","569","482943","849","586","282","1093","930.13","109.59"
"花蓮縣花蓮市","民權里","122","74726","613","369","217","753","678.67","110.80"
"花蓮縣花蓮市","民有里","164","128238","782","484","242","945","894.83","114.44"
"花蓮縣花蓮市","民主里","157","100882","643","411","234","834","750.45","116.79"
"花蓮縣花蓮市","民族里","130","78247","602","401","189","760","661.54","109.91"
"花蓮縣花蓮市","民生里","376","265222","705","443","205","868","935.29","132.59"
"花蓮縣花蓮市","主商里","187","160181","857","603","280","1171","945.02","110.32"
"花蓮縣花蓮市","主勤里","235","172146","733","478","244","931","768.93","104.97"
"花蓮縣花蓮市","主工里","178","123209","692","451","241","865","775.18","111.99"
"花蓮縣花蓮市","主睦里","159","104327","656","442","171","868","679.12","103.50"
"花蓮縣花蓮市","主義里","121","86774","717","500","195","952","866.02","120.76"
"花蓮縣花蓮市","主計里","231","172775","748","440","194","836","1025.39","137.09"
"花蓮縣花蓮市","主信里","230","162542","707","477","216","911","749.62","106.07"
"花蓮縣花蓮市","主和里","787","467469","594","455","221","758","594.62","100.11"
"花蓮縣花蓮市","主學里","612","381409","623","452","185","830","650.83","104.43"
"花蓮縣花蓮市","主農里","1141","785138","688","449","232","865","813.50","118.22"
"花蓮縣花蓮市","主力里","905","585740","647","447","226","835","738.99","114.18"
"花蓮縣花蓮市","主權里","1655","1076144","650","443","227","818","829.60","127.58"
"花蓮縣花蓮市","國治里","267","216429","811","470","217","873","1234.75","152.33"
"花蓮縣花蓮市","國風里","1078","737230","684","433","214","884","786.92","115.07"
"花蓮縣花蓮市","國威里","453","362232","800","501","221","985","981.83","122.79"
"花蓮縣花蓮市","國安里","183","141045","771","625","269","1016","801.50","103.99"
"花蓮縣花蓮市","國華里","739","551950","747","521","222","953","821.51","109.99"
"花蓮縣花蓮市","國魂里","571","408573","716","449","204","882","1093.61","152.84"
"花蓮縣花蓮市","國聯里","944","619237","656","449","225","820","756.87","115.38"
"花蓮縣花蓮市","國富里","1615","1123153","695","454","225","846","845.97","121.64"
"花蓮縣花蓮市","國慶里","362","381385","1054","569","297","1163","1461.68","138.74"
"花蓮縣花蓮市","國福里","346","173450","501","369","182","634","477.03","95.16"
"花蓮縣花蓮市","國強里","618","444337","719","520","250","883","814.09","113.23"
"花蓮縣花蓮市","國防里","242","144972","599","437","239","732","561.62","93.75"
"花蓮縣花蓮市","國光里","336","211330","629","387","161","866","700.08","111.31"
"花蓮縣花蓮市","民心里","296","245540","830","516","259","981","1041.85","125.60"
"花蓮縣花蓮市","民享里","1055","827179","784","531","266","983","865.64","110.41"
"花蓮縣花蓮市","國裕里","1499","1016056","678","471","225","853","885.33","130.61"
"花蓮縣花蓮市","國盛里","1146","668319","583","405","207","702","702.11","120.39"
"花蓮縣花蓮市","主安里","809","509113","629","422","210","813","753.64","119.76"
"花蓮縣花蓮市","國興里","1520","1289979","849","535","249","1080","974.69","114.85"
"花蓮縣花蓮市","民孝里","1090","800305","734","503","267","922","1160.27","158.03"
"花蓮縣花蓮市","其他","6","2735","456","502","258","547","262.83","57.66"
"花蓮縣花蓮市","合計","27392","19543916","713","471","229","894","878.70","123.16"
"花蓮縣光復鄉","大安村","202","139183","689","465","229","912","715.50","103.84"
"花蓮縣光復鄉","大全村","148","74653","504","374","180","688","481.62","95.48"
"花蓮縣光復鄉","大平村","183","98581","539","385","207","685","533.12","98.96"
"花蓮縣光復鄉","大馬村","197","87607","445","350","189","598","382.05","85.91"
"花蓮縣光復鄉","大進村","98","59822","610","461","217","883","556.22","91.12"
"花蓮縣光復鄉","大同村","226","125676","556","401","202","685","575.33","103.46"
"花蓮縣光復鄉","東富村","160","72377","452","356","211","601","384.80","85.06"
"花蓮縣光復鄉","西富村","170","99476","585","401","204","627","926.21","158.29"
"花蓮縣光復鄉","南富村","157","72648","463","328","176","610","548.58","118.55"
"花蓮縣光復鄉","北富村","137","65994","482","381","172","631","438.30","90.99"
"花蓮縣光復鄉","大富村","59","32474","550","399","164","791","536.85","97.54"
"花蓮縣光復鄉","大豐村","62","34275","553","289","160","768","701.52","126.90"
"花蓮縣光復鄉","大興村","76","32022","421","362","162","507","374.29","88.83"
"花蓮縣光復鄉","大華村","279","144520","518","416","214","636","465.89","89.94"
"花蓮縣光復鄉","其他","0","0","0","0","0","0","0.00","0.00"
"花蓮縣光復鄉","合計","2154","1139306","529","386","194","666","566.91","107.18"
"花蓮縣玉里鎮","中城里","1533","1059724","691","474","229","924","772.87","111.80"
"花蓮縣玉里鎮","國武里","346","225386","651","438","239","836","711.07","109.16"
"花蓮縣玉里鎮","啟模里","321","212504","662","387","161","703","1200.45","181.34"
"花蓮縣玉里鎮","泰昌里","238","171868","722","436","232","817","1109.29","153.61"
