"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"臺東縣臺東市","中山里","526","349184","664","423","196","830","800.31","120.56"
"臺東縣臺東市","文化里","403","307510","763","558","263","976","746.76","97.86"
"臺東縣臺東市","中正里","580","382614","660","413","207","787","759.26","115.10"
"臺東縣臺東市","中華里","551","301899","548","402","194","699","543.47","99.19"
"臺東縣臺東市","成功里","412","256214","622","431","233","759","776.57","124.87"
"臺東縣臺東市","寶桑里","353","206647","585","423","208","768","604.66","103.29"
"臺東縣臺東市","中心里","892","595351","667","449","230","891","676.45","101.35"
"臺東縣臺東市","新生里","1196","907732","759","514","266","1003","784.92","103.42"
"臺東縣臺東市","豐里里","527","333027","632","444","219","801","643.08","101.76"
"臺東縣臺東市","豐年里","845","549431","650","490","231","842","630.42","96.96"
"臺東縣臺東市","豐原里","278","176931","636","462","238","827","643.06","101.04"
"臺東縣臺東市","康樂里","343","187930","548","430","204","687","516.41","94.25"
"臺東縣臺東市","光明里","873","652405","747","526","242","966","868.77","116.25"
"臺東縣臺東市","新興里","344","225971","657","472","246","876","651.33","99.15"
"臺東縣臺東市","豐榮里","929","636865","686","493","276","875","679.22","99.08"
"臺東縣臺東市","永樂里","734","523905","714","473","272","927","707.21","99.08"
"臺東縣臺東市","民族里","746","553664","742","509","246","920","873.24","117.66"
"臺東縣臺東市","建國里","367","200157","545","401","174","730","593.50","108.82"
"臺東縣臺東市","民生里","841","590050","702","487","239","938","753.77","107.43"
"臺東縣臺東市","馬蘭里","733","481970","658","455","219","862","720.52","109.58"
"臺東縣臺東市","豐樂里","463","296198","640","438","204","868","653.37","102.13"
"臺東縣臺東市","東海里","642","428338","667","466","242","845","798.53","119.68"
"臺東縣臺東市","卑南里","1005","800344","796","575","294","1079","749.91","94.17"
"臺東縣臺東市","南王里","749","449480","600","450","221","772","575.43","95.89"
"臺東縣臺東市","建和里","254","126350","497","389","206","643","483.91","97.28"
"臺東縣臺東市","知本里","465","231661","498","377","202","639","483.77","97.10"
"臺東縣臺東市","富岡里","386","202901","526","412","203","684","501.44","95.39"
"臺東縣臺東市","建興里","300","163843","546","395","219","683","552.46","101.16"
"臺東縣臺東市","南榮里","695","477348","687","469","225","875","830.13","120.86"
"臺東縣臺東市","岩灣里","675","476904","707","509","261","936","793.09","112.25"
"臺東縣臺東市","新園里","289","143632","497","364","207","623","539.07","108.47"
"臺東縣臺東市","豐田里","580","287477","496","402","196","653","448.28","90.44"
"臺東縣臺東市","自強里","1146","1020482","890","584","276","1146","1010.48","113.48"
"臺東縣臺東市","豐谷里","969","579713","598","420","227","791","608.59","101.73"
"臺東縣臺東市","建農里","365","182977","501","393","195","615","469.91","93.74"
"臺東縣臺東市","仁和里","898","565257","629","465","222","846","636.91","101.18"
"臺東縣臺東市","豐盛里","1090","755395","693","509","252","967","653.51","94.30"
"臺東縣臺東市","豐安里","932","610642","655","503","240","888","587.21","89.62"
"臺東縣臺東市","其他","4","1611","403","393","282","514","142.43","35.35"
"臺東縣臺東市","合計","24380","16220012","665","465","234","859","711.06","106.88"
"臺東縣成功鎮","忠仁里","368","218685","594","418","231","702","923.80","155.45"
"臺東縣成功鎮","忠智里","420","268996","640","434","242","837","641.68","100.19"
"臺東縣成功鎮","三民里","531","286276","539","403","212","690","553.52","102.67"
"臺東縣成功鎮","三仙里","157","75685","482","362","179","617","460.25","95.47"
"臺東縣成功鎮","忠孝里","118","47231","400","316","146","522","356.58","89.09"
