"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"金門縣金城鎮","東門里","1656","1317594","796","563","280","1042","813.58","102.25"
"金門縣金城鎮","南門里","1883","1545561","821","582","290","1015","984.10","119.90"
"金門縣金城鎮","西門里","3648","3378937","926","622","322","1205","1134.90","122.53"
"金門縣金城鎮","北門里","1391","1197776","861","553","275","1045","996.10","115.68"
"金門縣金城鎮","賢庵里","1773","1344131","758","546","272","971","775.41","102.28"
"金門縣金城鎮","金水里","816","618273","758","559","276","1006","791.29","104.43"
"金門縣金城鎮","古城里","1380","1061330","769","563","274","994","784.78","102.04"
"金門縣金城鎮","珠沙里","1060","822819","776","558","264","967","874.88","112.71"
"金門縣金城鎮","其他","0","0","0","0","0","0","0.00","0.00"
"金門縣金城鎮","合計","13607","11286420","829","578","286","1059","950.37","114.58"
"金門縣金寧鄉","古寧村","1130","909062","804","531","253","1026","1238.16","153.91"
"金門縣金寧鄉","安美村","2019","1450125","718","537","252","879","815.72","113.57"
"金門縣金寧鄉","湖埔村","2676","2120928","793","560","275","993","988.82","124.76"
"金門縣金寧鄉","榜林村","1990","1579445","794","549","272","981","909.08","114.54"
"金門縣金寧鄉","盤山村","2309","1806486","782","538","260","977","954.34","121.98"
"金門縣金寧鄉","后盤村","592","446177","754","564","288","972","738.17","97.94"
"金門縣金寧鄉","其他","0","0","0","0","0","0","0.00","0.00"
"金門縣金寧鄉","合計","10716","8312225","776","544","265","970","954.71","123.08"
"金門縣金湖鎮","新市里","1464","1428354","976","623","330","1125","1433.72","146.95"
"金門縣金湖鎮","山外里","1310","998612","762","567","310","913","773.21","101.43"
"金門縣金湖鎮","溪湖里","491","350952","715","458","233","836","1241.41","173.68"
"金門縣金湖鎮","蓮庵里","668","495625","742","554","297","940","747.21","100.71"
"金門縣金湖鎮","料羅里","885","707665","800","661","319","984","874.71","109.39"
"金門縣金湖鎮","新湖里","3174","2562266","807","595","308","1013","898.98","111.36"
"金門縣金湖鎮","正義里","1004","751654","749","543","293","899","927.02","123.82"
"金門縣金湖鎮","瓊林里","1194","963790","807","567","279","1040","856.45","106.10"
"金門縣金湖鎮","其他","4","1333","333","331","291","373","106.44","31.93"
"金門縣金湖鎮","合計","10194","8260252","810","583","302","988","988.04","121.93"
"金門縣金沙鎮","汶沙里","1760","1373760","781","565","276","1026","780.11","99.94"
"金門縣金沙鎮","何斗里","689","583227","846","545","296","1062","1090.65","128.84"
"金門縣金沙鎮","浦山里","805","598611","744","501","236","918","952.34","128.07"
"金門縣金沙鎮","西園里","511","399599","782","552","276","959","921.23","117.81"
"金門縣金沙鎮","官嶼里","784","656714","838","554","312","1041","943.58","112.65"
"金門縣金沙鎮","光前里","824","641134","778","575","275","988","844.30","108.51"
"金門縣金沙鎮","三山里","657","467688","712","526","254","956","726.39","102.04"
"金門縣金沙鎮","大洋里","432","336890","780","539","272","922","960.47","123.16"
"金門縣金沙鎮","其他","1","660","660","660","660","660","0.00","0.00"
"金門縣金沙鎮","合計","6463","5058283","783","550","274","998","887.35","113.38"
"金門縣烈嶼鄉","林湖村","1153","892367","774","571","300","950","911.79","117.81"
"金門縣烈嶼鄉","黃埔村","581","417750","719","522","272","867","1022.43","142.20"
"金門縣烈嶼鄉","西口村","764","585328","766","552","300","903","805.07","105.08"
"金門縣烈嶼鄉","上林村","469","340116","725","508","240","929","837.79","115.53"
"金門縣烈嶼鄉","上岐村","1037","789977","762","528","281","916","899.78","118.11"
"金門縣烈嶼鄉","其他","1","495","495","495","495","495","0.00","0.00"
"金門縣烈嶼鄉","合計","4005","3026032","756","542","285","919","897.83","118.83"
"金門縣烏坵鄉","大坵村","112","83669","747","526","245","1011","716.50","95.91"
"金門縣烏坵鄉","小坵村","106","95106","897","702","306","1128","810.52","90.34"
"金門縣烏坵鄉","其他","0","0","0","0","0","0","0.00","0.00"
"金門縣烏坵鄉","合計","218","178776","820","632","279","1091","765.60","93.36"
"金門縣其他","其他","6","3374","562","275","82","381","906.36","161.17"
"金門縣其他","合計","6","3374","562","275","82","381","906.36","161.17"
