"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"澎湖縣馬公市","長安里","178","139334","783","586","284","1072","740.71","94.63"
"澎湖縣馬公市","復興里","239","182550","764","616","474","866","597.36","78.21"
"澎湖縣馬公市","中央里","157","115641","737","514","244","1114","711.48","96.59"
"澎湖縣馬公市","啓明里","294","290934","990","663","292","1169","1210.99","122.38"
"澎湖縣馬公市","重慶里","310","247374","798","592","233","1021","910.08","114.05"
"澎湖縣馬公市","光復里","648","497727","768","524","239","897","944.95","123.03"
"澎湖縣馬公市","光明里","426","354130","831","612","313","1045","831.76","100.06"
"澎湖縣馬公市","重光里","509","402390","791","587","320","1001","770.69","97.49"
"澎湖縣馬公市","西衛里","1753","1461540","834","612","319","1124","790.85","94.86"
"澎湖縣馬公市","朝陽里","1729","1356638","785","578","300","1024","820.93","104.63"
"澎湖縣馬公市","東文里","1174","879428","749","544","261","987","821.97","109.73"
"澎湖縣馬公市","西文里","1218","971801","798","589","312","1035","867.71","108.75"
"澎湖縣馬公市","案山里","791","577291","730","645","406","942","553.84","75.89"
"澎湖縣馬公市","光華里","521","396325","761","646","482","895","562.70","73.97"
"澎湖縣馬公市","前寮里","384","350242","912","619","308","1004","1124.11","123.25"
"澎湖縣馬公市","石泉里","977","764570","783","586","328","1048","888.73","113.57"
"澎湖縣馬公市","菜園里","114","83233","730","496","341","998","628.48","86.08"
"澎湖縣馬公市","東衛里","785","598692","763","596","341","943","812.61","106.55"
"澎湖縣馬公市","安宅里","219","173693","793","576","306","962","859.07","108.32"
"澎湖縣馬公市","烏崁里","315","199348","633","525","244","792","555.75","87.82"
"澎湖縣馬公市","興仁里","503","393159","782","638","356","981","737.37","94.34"
"澎湖縣馬公市","鐵線里","217","136523","629","495","228","785","626.85","99.64"
"澎湖縣馬公市","山水里","418","283728","679","486","224","873","765.12","112.72"
"澎湖縣馬公市","鎖港里","689","439715","638","502","240","840","621.51","97.39"
"澎湖縣馬公市","井垵里","99","58129","587","498","301","659","499.05","84.99"
"澎湖縣馬公市","嵵裡里","298","184657","620","459","246","789","581.07","93.77"
"澎湖縣馬公市","風櫃里","283","158929","562","473","239","707","514.52","91.62"
"澎湖縣馬公市","虎井里","264","180273","683","564","350","832","539.70","79.04"
"澎湖縣馬公市","桶盤里","69","45596","661","547","373","861","432.36","65.43"
"澎湖縣馬公市","中興里","319","263055","825","593","327","1127","782.17","94.85"
"澎湖縣馬公市","五德里","231","136751","592","539","440","646","484.65","81.87"
"澎湖縣馬公市","光榮里","1362","1093242","803","568","265","1052","874.16","108.91"
"澎湖縣馬公市","陽明里","851","697098","819","577","293","1094","823.74","100.56"
"澎湖縣馬公市","其他","0","0","0","0","0","0","0.00","0.00"
"澎湖縣馬公市","合計","18344","14113738","769","577","301","982","798.33","103.76"
