"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"連江縣南竿鄉","介壽村","854","785538","920","685","374","1190","861.45","93.65"
"連江縣南竿鄉","復興村","324","293450","906","691","344","1167","842.10","92.98"
"連江縣南竿鄉","福沃村","325","282374","869","708","389","1109","718.16","82.66"
"連江縣南竿鄉","清水村","454","400504","882","660","382","1154","790.02","89.55"
"連江縣南竿鄉","珠螺村","116","79497","685","609","434","814","477.91","69.73"
"連江縣南竿鄉","仁愛村","317","238892","754","614","461","825","659.09","87.46"
"連江縣南竿鄉","津沙村","131","105245","803","644","321","1021","749.00","93.23"
"連江縣南竿鄉","馬祖村","187","161106","862","554","333","990","910.11","105.64"
"連江縣南竿鄉","四維村","59","84269","1428","620","285","1204","4068.84","284.87"
"連江縣南竿鄉","其他","0","0","0","0","0","0","0.00","0.00"
"連江縣南竿鄉","合計","2767","2430875","879","660","379","1102","986.58","112.30"
"連江縣北竿鄉","塘岐村","432","338712","784","605","309","1010","737.93","94.12"
"連江縣北竿鄉","后沃村","76","64792","853","587","306","1155","749.96","87.97"
"連江縣北竿鄉","橋仔村","160","106951","668","582","296","829","647.16","96.82"
"連江縣北竿鄉","芹壁村","237","178079","751","603","490","795","659.25","87.74"
"連江縣北竿鄉","坂里村","119","79685","670","498","310","799","630.76","94.20"
"連江縣北竿鄉","白沙村","57","38877","682","483","289","883","732.63","107.41"
"連江縣北竿鄉","其他","0","0","0","0","0","0","0.00","0.00"
"連江縣北竿鄉","合計","1081","807096","747","585","336","911","698.16","93.51"
"連江縣莒光鄉","青帆村","146","122578","840","727","352","1127","671.71","80.01"
"連江縣莒光鄉","田沃村","84","63434","755","629","218","1149","625.98","82.89"
"連江縣莒光鄉","西坵村","43","30361","706","656","509","788","379.82","53.79"
"連江縣莒光鄉","大坪村","190","152830","804","618","371","1042","692.66","86.11"
"連江縣莒光鄉","福正村","62","45736","738","464","332","891","802.07","108.73"
"連江縣莒光鄉","其他","0","0","0","0","0","0","0.00","0.00"
"連江縣莒光鄉","合計","525","414939","790","626","347","1047","669.54","84.71"
"連江縣東引鄉","中柳村","283","223158","789","636","484","973","589.55","74.76"
"連江縣東引鄉","樂華村","407","318737","783","657","491","924","632.27","80.74"
"連江縣東引鄉","其他","0","0","0","0","0","0","0.00","0.00"
"連江縣東引鄉","合計","690","541895","785","646","485","954","614.68","78.27"
