學年度,代碼,學校名稱,公/私立,縣市名稱,鄉鎮市區名稱,地址,電話
113,011Z59,天主教聖心學校財團法人新北市聖心國民小學附設私立善牧園幼兒園,私立,新北市,八里區,[249]新北市八里區龍源里19鄰龍米路1段261號,(02)26182330#171
113,014Y33,新北市八里區八里國民小學附設幼兒園,公立,新北市,八里區,[249]新北市八里區舊城里7鄰中山路2段338號,(02)26102217#3103
113,014Y84,新北市八里區大崁國民小學附設幼兒園,公立,新北市,八里區,[249]新北市八里區大崁里13鄰忠八街2號,(02)86305678#190
113,014XA1,新北市立八里幼兒園,公立,新北市,八里區,[249]新北市八里區舊城里18鄰舊城路19號2F,(02)86303477#131
113,014XA1-02,新北市立八里幼兒園大埤頂分班,公立,新北市,八里區,[249]新北市八里區大崁里3鄰中山路1段95號1樓,(02)86303477#300
113,014XA1-01,新北市立八里幼兒園龍源分班,公立,新北市,八里區,[249]新北市八里區龍源里15鄰龍米路一段223號2樓,(02)86303477#500
113,011YEG,新北市私立人文幼兒園,私立,新北市,八里區,[249]新北市八里區頂罟里5鄰仁一街1號1、2、3樓,(02)86303355
113,011XPY,新北市私立大崁璽恩幼兒園,私立,新北市,八里區,[249]新北市八里區大崁里3鄰中山路1段190號1、2樓,(02)26193992
113,011XPX,新北市私立快樂芝麻幼兒園,私立,新北市,八里區,[249]新北市八里區大崁里1鄰龍米路三段38號1、2樓,(02)86303636
113,011YBO,新北市私立邱吉爾幼兒園,私立,新北市,八里區,[249]新北市八里區舊城里19鄰中華路二段520號1樓、522號1樓,(02)26195551
113,011XPW,新北市私立青子園幼兒園,私立,新北市,八里區,[249]新北市八里區訊塘里7鄰中山路二段466巷23號1樓及夾層,(02)26102677
113,011YBP,新北市私立星莆幼兒園,私立,新北市,八里區,[249]新北市八里區訊塘里15鄰中山路2段540巷28號1樓,(02)86301185
113,011K15,新北市私立陽光幼兒園,私立,新北市,八里區,[249]新北市八里區大崁里11鄰文心街112號,(02)26193688
113,011Z30,財團法人天主教會台北教區附設新北市私立三芝幼兒園,私立,新北市,三芝區,[252]新北市三芝區埔頭里22鄰長安街59號1、2樓,(02)26364308
113,011YDZ,馬偕學校財團法人馬偕醫護管理專科學校附設新北市私立馬偕示範幼兒園,私立,新北市,三芝區,[252]新北市三芝區古庄里1鄰中正路3段42號1樓,(02)26366799#3271
