code,name,county,address
s0001,台北介壽教室,台北市,台北市松山區延壽街352號
s0008,台北興雅教室,台北市,台北市信義區松德路110號
s0017,台北龍門教室,台北市,台北市大安區和平東路二段49-3號2樓
s0031,台北大安教室,台北市,台北市大安區信義路三段126號2樓
s0058,台北仁愛教室,台北市,台北市大安區信義路四段208號3樓
s0066,台北敦化教室,台北市,台北市松山區敦化北路4巷9號
s0126,台北中崙教室,台北市,台北市松山區南京東路五段135號2樓
s0055,台北永吉教室,台北市,台北市信義區永吉路119號
s0094,台北士林教室,台北市,台北市士林區中正路379號2樓
s0006,台北蘭雅教室,台北市,台北市士林區忠誠路二段50巷10號
s0009,台北天母教室,台北市,台北市士林區天母西路5巷6號
s0027,台北石牌教室,台北市,台北市北投區實踐街71號
s0121,台北北投教室,台北市,台北市北投區中央北路一段191號2樓
s0024,台北大直教室,台北市,台北市中山區北安路595巷2弄3號
s0040,台北明湖教室,台北市,台北市內湖區康寧路三段99巷8弄12號
s0104,台北東湖教室,台北市,台北市內湖區東湖路140號2樓
s0044,台北麗山教室,台北市,台北市內湖區內湖路一段629巷51號
s0065,台北內湖教室,台北市,台北市內湖區成功路三段170號2樓
s0037,台北景美教室,台北市,台北市文山區景華街22巷2號
s0119,台北木柵教室,台北市,台北市文山區忠順街一段127號
s0067,台北萬芳教室,台北市,台北市文山區興隆路三段80號2樓
s0107,台北成淵教室,台北市,台北市大同區重慶北路二段108號
s0124,台北中研教室,台北市,台北市南港區研究院路二段92號
s0136,台北和平教室,台北市,台北市大安區和平東路三段284號
s0137,台北重慶教室,台北市,台北市大同區重慶北路三段250之2號2樓
s0138,台北萬大教室,台北市,台北市萬華區萬大路337號
s0141,台北長春教室,台北市,台北市中山區松江路186-1號2樓
s0142,台北南港教室,台北市,台北市南港區重陽路332號
s0007,新北海山教室,新北市,新北市板橋區漢生東路323號
s0062,新北中山教室,新北市,新北市板橋區文化路一段301號2樓
s0020,新北江翠教室,新北市,新北市板橋區松江街8號
s0078,新北重慶教室,新北市,新北市板橋區國慶路213巷1號
s0063,新北清水教室,新北市,新北市土城區明德路一段43號
s0096,新北中正教室,新北市,新北市土城區裕民路161號2樓
s0084,新北永和教室,新北市,新北市永和區中正路430號
s0103,新北秀朗教室,新北市,新北市永和區得和路297號
s0035,新北永平教室,新北市,新北市永和區永貞路420號3樓
s0087,新北南勢角教室,新北市,新北市中和區和平街40-1號2樓
s0050,新北南山教室,新北市,新北市中和區中和路229號
s0076,新北錦和教室,新北市,新北市中和區中正路279號
s0064,新北丹鳳教室,新北市,新北市新莊區龍安路69巷56號
s0016,新北新莊教室,新北市,新北市新莊區中正路110號-5
s0053,新北中平教室,新北市,新北市新莊區中和街155巷2號2樓
s0072,新北頭前教室,新北市,新北市新莊區中原路1號
s0108,新北新店教室,新北市,新北市新店區中正路426號
s0088,新北正義教室,新北市,新北市三重區正義北路288號2樓
s0047,新北鷺江教室,新北市,新北市蘆洲區長樂路178號
s0099,新北蘆洲教室,新北市,新北市蘆洲區中正路156-2號
s0089,新北義學教室,新北市,新北市泰山區民生路13號
s0092,新北淡水教室,新北市,新北市淡水區中山北路一段69號2樓
s0029,新北崇林教室,新北市,新北市林口區文化一路一段89號
s0077,新北林高教室,新北市,新北市林口區仁愛路二段202-3號
s0051,新北林口教室,新北市,新北市林口區文化三路二段168號
s0034,新北桃子腳教室,新北市,新北市樹林區大成路329號
s0111,新北秀峰教室,新北市,新北市汐止區仁愛路202號
s0116,新北碧華教室,新北市,新北市三重區三賢街71號
s0120,新北新埔教室,新北市,新北市板橋區英士路57號
s0127,新北北大教室,新北市,新北市三峽區學成路159號
s0130,新北集美教室,新北市,新北市三重區重新路四段8號2樓
s0132,新北青山教室,新北市,新北市汐止區連興街58號
s0133,新北三和教室,新北市,新北市三重區三和路四段133號2樓
s0145,新北樹高教室,新北市,新北市樹林區中華路129號
s0025,桃園慈文教室,桃園市,桃園市桃園區大興西路一段319號
s0026,桃園同德教室,桃園市,桃園市桃園區南平路546號2樓
s0046,桃園東興教室,桃園市,桃園市中壢區廣州路64號
s0082,桃園內壢教室,桃園市,桃園市中壢區長春路130號
s0098,桃園自強教室,桃園市,桃園市中壢區富裕街52號
s0110,桃園南崁教室,桃園市,桃園市蘆竹區長春路75號
s0113,桃園大有教室,桃園市,桃園市桃園區大有路150號
s0122,桃園武陵教室,桃園市,桃園市桃園區國際路二段146號
s0128,桃園大成教室,桃園市,桃園市八德區介壽路一段881號
s0134,桃園青埔教室,桃園市,桃園市中壢區領航北路二段167號
s0139,桃園長庚教室,桃園市,桃園市龜山區文化二路52巷59號
s0143,桃園光明教室,桃園市,桃園市蘆竹區忠孝西路35號
s0013,新竹關埔教室,新竹市,新竹市東區關東路133號
s0070,新竹光武教室,新竹市,新竹市東區光復路一段513號
s0042,新竹培英教室,新竹市,新竹市東區食品路214號
s0038,新竹光華教室,新竹市,新竹市北區光華東街88號
s0059,新竹三民教室,新竹市,新竹市東區自由路95巷12-1號
s0018,竹北仁愛教室,新竹縣,新竹縣竹北市三民路168號
s0083,竹北光明教室,新竹縣,新竹縣竹北市光明九路201號
s0045,竹北成功教室,新竹縣,新竹縣竹北市成功九街91號
s0048,竹北東興教室,新竹縣,新竹縣竹北市嘉豐七街147號
