name,county,district,address,phone,elem,jhs
廈門分校,台北市,中正區,台北市中正區廈門街52號2、3樓,02-2367-2322,1,0
大龍分校,台北市,大同區,台北市大同區哈密街59巷53弄4號2樓,02-2595-0753,1,0
柏齡分校,台北市,中山區,台北市中山區大直街39巷3號,02-2532-9522,1,1
慧昇補習班,台北市,中山區,台北市中山區松江路289號2樓之4,02-2518-5186,1,0
孟庠補習班,台北市,中山區,台北市中山區北安路588巷30弄18號1樓,02-8509-1420,1,0
佳一文理補習班,台北市,中山區,台北市中山區松江路186之1號3樓,02-2567-1004,1,0
松江味全分校,台北市,中山區,台北市中山區松江路125號4樓(味全文化教育基金會),02-2732-7399,1,1
龍江分校,台北市,中山區,台北市中山區龍江路42號2樓,02-2752-8882,1,0
大直濱江分校,台北市,中山區,台北市中山區堤頂大道二段378號1~2樓,02-8501-2580,1,0
中山分校,台北市,中山區,台北市中山區吉林路407巷7號2樓,02-2592-2872,1,1
中山小哈佛分校,台北市,中山區,台北市中山區德惠街19號2樓,02-2595-3508,1,1
艾思程式技藝文理短期補習班大直分班,台北市,中山區,台北市中山區北安路538巷1弄5號1樓,(02)2533-2133,1,0
救國團南京分校,台北市,松山區,台北市松山區南京東路四段164號2樓,02-2570-8075,1,0
瑪麗安分校,台北市,松山區,台北市松山區光復南路46巷19號1樓,02-2782-3820,1,0
艾思程式技藝文理短期補習班,台北市,松山區,台北市松山區延壽街131號1樓,02-8979-5838,1,0
立心文理短期補習班,台北市,松山區,台北市松山區民生東路四段55巷32號,02-27121000,1,0
茉莉園分校,台北市,大安區,台北市大安區忠孝東路四段216巷38號6F,02-8771-0456,1,0
潮州分校,台北市,大安區,台北市大安區潮州街150號1樓,02-3393-7356,1,1
古亭分校,台北市,大安區,台北市大安區羅斯福路三段77號2樓,02-2369-8770,1,1
長頸鹿麟光分校,台北市,大安區,台北市大安區樂業街184號,02-2732-0003,1,1
台北市大安區私立師恩文理技藝短期補習班,台北市,大安區,台北市大安區建國南路一段304巷57號1樓,02-23415471,1,0
艾思程式技藝文理短期補習班安和分班,台北市,大安區,台北市大安區安和路一段112巷15號1樓,(02)3707-3991,1,0
東園補習班,台北市,萬華區,台北市萬華區東園街173號2樓,02-2305-0640,1,0
西園分校,台北市,萬華區,台北市萬華區東園街73巷70號,02-2307-9903,1,0
育筠分校,台北市,信義區,台北市信義區莊敬路423巷7弄7號1樓,02-8789-8357,1,1
來智文理補習班,台北市,信義區,台北市信義區福德街268巷7弄1號,02-2759-6262,1,1
承德分校,台北市,士林區,台北市士林區承德路四段12巷36號,02-2885-2160,1,0
點子補習班,台北市,士林區,台北市士林區德行東路234號2樓,02-2838-4989,1,0
