name,county,district,address,phone
民生校,台北市,松山區,台北市松山區光復北路196號,(02)2545-8592
大直校,台北市,中山區,台北市中山區明水路581巷13弄1號,(02)2533-9636
仁愛校,台北市,大安區,台北市大安區安和路一段125號2樓,(02)2700-5058
明湖校,台北市,內湖區,台北市內湖區康寧路三段189巷21弄8號,(02)2631-7339
內湖站前校,台北市,內湖區,台北市內湖區內湖路二段351號,(02)2790-3772
蘭雅校,台北市,士林區,台北市士林區忠義街122號,(02)2838-5129
石牌校,台北市,北投區,台北市北投區石牌路一段65號,(02)2820-2360
龍門校,台北市,大安區,台北市大安區和平東路二段53巷2號2樓,(02)2706-0601
文昌校,台北市,士林區,台北市士林區中正路353號2樓,(02)2882-6644
重慶校,台北市,大同區,台北市大同區重慶北路三段70號,(02)2587-3888
內湖麗山校,台北市,內湖區,台北市內湖區麗山街348巷16號,(02)2659-5680
中正校,台北市,中正區,台北市中正區金華街30-2號,(02)3393-3393
新店校,新北市,新店區,新北市新店區中興路三段248號,(02)8665-0008
新莊校,新北市,新莊區,新北市新莊區龍安路69巷2號,(02)2901-7576
海山校,新北市,板橋區,新北市板橋區漢生東路319號,(02)7744-3687
林口大未來校,新北市,林口區,新北市林口區文化二路一段571-1號,(02)8601-8991
五股水碓校,新北市,五股區,新北市五股區自強路70號,(02)8295-6670
樹林北大校,新北市,樹林區,新北市樹林區大成路67號,(02)3501-9669
淡水新市校,新北市,淡水區,新北市淡水區中山北路二段201號,(02)2625-6355
板橋成都校,新北市,板橋區,新北市板橋區成都街45號,(02)7744-3687
樹林中山校,新北市,樹林區,新北市樹林區長壽街15-2號,(02)8675-1955
江翠校,新北市,板橋區,新北市板橋區松江街16號,(02)7744-3687
板橋溪崑校,新北市,板橋區,新北市板橋區篤行路三段86號,(02)2686-5100
土城學府校,新北市,土城區,新北市土城區學府路一段104號2樓,(02)2270-5100
樹林樹新校,新北市,樹林區,新北市樹林區樹新路211號,(02)2687-5100
淡水竹圍校,新北市,淡水區,新北市淡水區民族路50巷48號3樓,(02)2808-5550
三峽復興校,新北市,三峽區,新北市三峽區復興路38號,(02)2672-9622
桃園藝文校,桃園市,桃園區,桃園市桃園區同德六街153號,(03)346-2858
桃園青溪校,桃園市,桃園區,桃園市桃園區自強路135號,(03)337-7655
桃園武陵校,桃園市,桃園區,桃園市桃園區吉昌街206號,(03)260-6687
南崁光明校,桃園市,蘆竹區,桃園市蘆竹區南順四街39號,(03)322-9777
南崁長春校,桃園市,蘆竹區,桃園市蘆竹區長春路83號,(03)311-2332
中壢海華校,桃園市,中壢區,桃園市中壢區新生路303號,(03)426-0569
桃園內壢校,桃園市,中壢區,桃園市中壢區復華十一街51號1樓,(03)461-6177
八德大成校,桃園市,八德區,桃園市八德區廣福路26、28號3樓,(03)362-2345
竹北校,新竹縣,竹北市,新竹縣竹北市光明六路123號,(03)558-7939
竹北仁愛校,新竹縣,竹北市,新竹縣竹北市三民路160號,(03)551-4857
新竹建功校,新竹市,東區,新竹市東區建功一路158號,(03)572-3338
新竹光武校,新竹市,東區,新竹市東區光復路一段523號,(03)579-5162
台中校,台中市,北區,台中市北區進化北路221號6樓,(04)2235-8233
台中惠文校,台中市,南屯區,台中市南屯區河南路四段356號2樓,(04)2251-9975
大業校,台中市,南屯區,台中市南屯區大進街669號,(04)2326-9357
台中至善校,台中市,西屯區,台中市西屯區至善路68號,(04)2452-7700
台中烏日校,台中市,烏日區,台中市烏日區中山路一段481號,(04)2338-9113
台中新光校,台中市,太平區,台中市太平區育賢路327號,(04)2393-8190
台中中科校,台中市,西屯區,台中市西屯區福科路516號,(04)2463-7665
台中大新校,台中市,南屯區,台中市南屯區向上路一段688號,(04)2310-9900
台中大雅校,台中市,大雅區,台中市大雅區雅潭路四段779號,(04)2566-7722
彰化大成校,彰化縣,彰化市,彰化縣彰化市自強路301巷7號,(04)736-5650
彰化平和校,彰化縣,彰化市,彰化縣彰化市中正路二段560巷11號,(04)722-8588
彰化彰興校,彰化縣,彰化市,彰化縣彰化市埔西街267號1樓,(04)711-3999
員林校,彰化縣,員林市,彰化縣員林市三民東街226號2樓,(04)836-2295
員林建國校,彰化縣,員林市,彰化縣員林市建國路70號之1,(04)839-3886
高雄校,高雄市,左營區,高雄市左營區忠言路33號,(07)556-0505
高雄美術館校,高雄市,鼓山區,高雄市鼓山區美術東六街117號,(07)555-5117
